id,dtype,shape,dims,path,traffic_B,task_us,aicore_us,aiv_us,aiv_scalar_us,aiv_scalar_ratio,aiv_vec_us,aiv_vec_ratio,aiv_mte2_us,aiv_mte2_ratio,aiv_mte3_us,aiv_mte3_ratio,block_dim,eff_bw_GBps,bw_ratio,bound,bound_ratio,n_samples
c01,fp16,"(2048, 2048)","(1, 0)",TRANS-hw,16777216,173.974,0.0,172.261,171.744,0.9975,7.467,0.043,113.855,0.661,120.212,0.6975,20,96.4,0.0643,SCALAR,0.9975,30
c02,fp32,"(1024, 1024)","(1, 0)",TRANS-scalar,8388608,900.488,0.0,820.273,814.406,0.993,0.02,0.0,4.001,0.005,6.026,0.007,20,9.3,0.0062,SCALAR,0.993,30
c03,int32,"(1024, 1024)","(1, 0)",TRANS-scalar,8388608,900.198,0.0,820.381,814.417,0.993,0.02,0.0,3.859,0.0045,6.226,0.008,20,9.3,0.0062,SCALAR,0.993,30
c04,int8,"(2048, 2048)","(1, 0)",TRANS-scalar,8388608,3355.807,0.0,3064.743,3058.791,0.998,0.02,0.0,4.326,0.001,5.899,0.002,20,2.5,0.0017,SCALAR,0.998,30
c05,fp16,"(1001, 1001)","(1, 0)",TRANS-half-mix,4008004,200.754,0.0,58.674,57.322,0.976,1.767,0.03,37.832,0.6445,35.968,0.6125,20,20.0,0.0133,SCALAR,0.976,30
c06,fp32,"(1001, 1001)","(1, 0)",TRANS-scalar,8016008,897.788,0.0,791.945,778.508,0.983,0.02,0.0,6.514,0.008,13.122,0.0165,20,8.9,0.006,SCALAR,0.983,30
c07,int8,"(1001, 1001)","(1, 0)",TRANS-scalar,2004002,966.469,0.0,737.448,731.832,0.992,0.02,0.0,4.147,0.006,3.119,0.004,20,2.1,0.0014,SCALAR,0.992,30
c08,fp16,"(8192, 64)","(1, 0)",TRANS-hw,2097152,24.741,0.0,23.008,22.205,0.964,0.951,0.041,21.108,0.919,13.284,0.58,20,84.8,0.0565,SCALAR,0.964,30
c09,fp16,"(64, 8192)","(1, 0)",TRANS-hw,2097152,25.79,0.0,23.834,22.508,0.942,0.951,0.04,14.101,0.593,21.621,0.904,20,81.3,0.0542,SCALAR,0.942,30
c10,fp32,"(4096, 65)","(1, 0)",TRANS-scalar,2129920,272.596,0.0,216.244,209.511,0.969,0.02,0.0,6.923,0.032,0.694,0.003,20,7.8,0.0052,SCALAR,0.969,30
c11,int8,"(10000, 33)","(1, 0)",TRANS-scalar,660000,506.36,0.0,263.539,246.204,0.9345,0.02,0.0,17.14,0.065,0.392,0.001,20,1.3,0.0009,SCALAR,0.9345,30
