candidate_id,parent_id,kind,hypothesis,patch_scope,source_hash,artifact_hash,correctness,screening,paired_ab,structure,local_status,package_id,official_status,official_result,goal_status,reason,evidence
legacy-20260724-105027,,performance,unknown historical candidate,unknown,,ef787529cb96bb1ec279d9ba2bc61c096a5923ea71879fe4a42fafe48b020862,external-case4-failed,unknown,not-run,unknown,rejected,SquareSumV1_20260724_105027_zip,official_rejected_correctness,Case4 Run failed,not_achieved,external Case4 failed,result-20260724.txt
legacy-20260724-174439,,performance,unknown historical candidate,unknown,,1a15e7ba25162c2db2f8dd9438b67bed7a905a6c2532b76a4e835b1a498540f4,external-case4-failed,unknown,not-run,unknown,rejected,SquareSumV1_20260724_174439_zip,official_rejected_correctness,Case4 Run failed,not_achieved,external Case4 failed,result-20260724.txt
legacy-20260725-123950,,performance,unknown historical candidate,unknown,,37bd57d080088eabc1ab2aeab53d19964b6c5562be36bd69c60a83a1c944b26f,external-case4-failed,unknown,not-run,unknown,rejected,SquareSumV1_20260725_123950_zip,official_rejected_correctness,Case4 Run failed,not_achieved,external Case4 failed,result-20260724.txt
b1ab2e04745e,af71c3489175,safety,Case4 and BF16 safety parent,op_host and op_kernel,8035875059958fb45d5fc606f3090609a057391c09220da10dd0bf0516219617,72f7cd44be2eb832136b54d2e45697ff6b3d5818fa4c64b27d5f57fc28896fdb,local-pass-44+3+4,historical-42case-762.250us,not-run,historical-report,safety_accepted,SquareSumV1_20260725_172638_zip,official_rejected_correctness,Case4 Run failed,not_achieved,local safety does not replace external result,20260725-3算子性能评测和瓶颈分析报告.md
mode3-retile-rchunk-20260901_001116,mode3-parent-baseline-20260831_235019,performance,recompute mode3 R chunk after final A0 retile,op_host/square_sum_v1_tiling.cpp + Host UT,567ecb7c376566feb9c5b09c7b5bcdb8a3aaca5af4daf291ae5da6838050d495,7d3f3d0f8cafad72d801e7e5e3c3cf34b512c7997c5b0d27293ba74ce9684ffc,pass-103UT+44+3+4,fail-fp32-target,not-run,pass-route-blockdim-kernel,rejected,,not_submitted,,not_achieved,fp32 improved only 0.575 percent and 0.2115 us,docs/reports/SquareSumV1算子mode3-retile-rchunk-20260901_001116阶段执行报告.md
mode3-lowp-retile-rchunk-20260901_011717,mode3-parent-baseline-20260831_235019,performance,recompute final-tile R chunk only for fp16 and bf16 mode3,op_host/square_sum_v1_tiling.cpp + Host UT + BF16 NPU case,f946661f8596f2f5dd0e1956f8fbc91de80e179e7c77e575ad216ac4503d8b7d,0f6f06d704e2314ee061610b8e5e33a8f9734036e4675ecc664d7c0abeb8f8dc,pass-103UT+44+4+4,pass,fail-target-5.597pct,pass-global-regression-structure,rejected,,not_submitted,,not_achieved,target below predeclared 10 percent,docs/reports/SquareSumV1算子mode3-lowp-retile-rchunk-20260901_011717阶段执行报告.md
mode3-fulltile-nozero-20260901_020621,mode3-parent-baseline-20260831_235019,performance,skip redundant mode3 zero-fill when DMA fully overwrites the A0 tile,op_kernel/square_sum_v1.h,9a5215385903a5193494fba14ebddc3c702de13d0f0b30a9a961200c2db8ce46,d2060f6791a2da06df98b236f64b840347d4d08ab291ecdd296e03309868702c,fail-42+3+4,not-run,not-run,failed-sync,rejected,,not_submitted,,not_achieved,pre-copy PIPE_ALL also protects raw TBuf V-to-MTE2 reuse,docs/reports/SquareSumV1算子mode3-fulltile-nozero-20260901_020621阶段执行报告.md
mode3-fulltile-skipzero-sync-20260901_022004,mode3-parent-baseline-20260831_235019,performance,skip full-tile Duplicate while retaining the mandatory pre-copy PIPE_ALL,op_kernel/square_sum_v1.h,09af456029bcf4e9e3863856510ab5df539a9bc51aa2e086227bfa3b7a52b529,ecf550f01846b89eefc321d38a19b16779bd7e100b1b3b2603985635eab146f7,pass-103UT+44+4+4x2,fail-target-bf16-regression,not-run,pass-host-and-sync,rejected,,not_submitted,,not_achieved,no material target gain and BF16 regressed 7.84 percent,docs/reports/SquareSumV1算子mode3-fulltile-skipzero-sync-20260901_022004阶段执行报告.md
mode3-min64b-a0tile-20260901_023607,mode3-parent-baseline-20260831_235019,performance,enforce a two-datablock minimum A0 tile only for mode3 core retile,op_host/square_sum_v1_tiling.cpp + Host UT,d986857dd4d969de07216b6003630b22be9a34813845f1704cef05bd97ca5b00,d6ddfaabfe1bbc12c13eceebf0bfe372ddee66abee03f79daab07df4ff03b165,pass-104UT+44+4+4,fail-fp16-fp32-regression,not-run,pass-expected-tile-cores,rejected,,not_submitted,,not_achieved,fewer cores outweighed wider DMA and fp32 regressed about 30 percent,docs/reports/SquareSumV1算子mode3-min64b-a0tile-20260901_023607阶段执行报告.md
mode4-two-layer-dense-singlecore-20260901_025513,mode3-parent-baseline-20260831_235019,performance,use one dense fp32 intermediate stage for exactly two mode4 layers while staying single-core,op_host/square_sum_v1_tiling.cpp + op_kernel/square_sum_v1.h + Host UT,17b0bc3e903fcab475db670bf9f17b47adf4bf8ababe872b4cc6b947079ac2b0,0ef69276cffd025bebdc39fcfd6264f435f821afdf947710097b49abfe5988d5,fail-real-st-mode6-and-mode4,pass,pass-6rounds-18.027pct,pass-blockdim1-no-syncall,rejected,,not_submitted,,not_achieved,raw TBuf Vector-to-MTE3 dependencies were missing,docs/reports/SquareSumV1算子mode4-two-layer-dense-singlecore-20260901_025513阶段执行报告.md
mode6-bf16-tbuf-reuse-20260901_043755,mode4-two-layer-dense-singlecore-20260901_025513,correctness,establish raw BF16 x TBuf V-to-MTE2 reuse dependency before every mode6 tile copy,op_kernel/square_sum_v1.h,c19aa28f9feda8f22db4d81a5a9c58d41fc809cfa2c9cf68f79c00d74bbf9830,a66076eef4d388c2fb1d04e52d1e08c0ac27e8cd744260f25cc3ee826e0f286c,fail-mode6-bf16-1of4-pass,not-run,not-run,pass-route-block-ownership,rejected,,not_submitted,,not_achieved,pre-copy barrier alone did not establish output visibility,docs/reports/SquareSumV1算子mode6-bf16-tbuf-reuse-20260901_043755阶段执行报告.md
mode6-output-v-mte3-sync-20260901_044408,mode4-two-layer-dense-singlecore-20260901_025513,correctness,establish Vector-to-MTE3 dependency before mode6 raw TBuf output DMA,op_kernel/square_sum_v1.h,4948ec4ac45389e5437e426f890880e686806a43c528fcefc48e4a8e6a0e9fa1,53542684a15f04eb8820b5ce5bb6580488b7ea62190fc56721d75469a686e477,fail-real-l1-358of361,not-run,not-run,pass-mode6-route-and-ownership,rejected,,not_submitted,,not_achieved,mode6 fixed but dense mode4 still lacked output visibility,docs/reports/SquareSumV1算子mode6-output-v-mte3-sync-20260901_044408阶段执行报告.md
mode4-dense-output-v-mte3-sync-20260901_045724,mode6-output-v-mte3-sync-20260901_044408,correctness,establish Vector-to-MTE3 dependency before dense mode4 layer output and workspace DMA,op_kernel/square_sum_v1.h,82dac7873c8c3b79a81220a73bb79c606653b107e6db57f3dcc653bd0f1f4a08,0e06264911dcbe4944df0d18bcd036db25ccce45e8b1b9f666cfc544e1f9f86d,fail-empty-nonreduce-zero-divisor,pass,pass-6rounds-17.663pct,pass-all-42-blockdims-and-kernel-hashes,rejected,,not_submitted,,not_achieved,non-reduced zero dim could reach mode4 CeilDiv with divisor zero,docs/reports/SquareSumV1算子mode4-dense-output-v-mte3-sync-20260901_045724阶段执行报告.md
empty-nonreduce-mode7-20260901_053835,mode4-dense-output-v-mte3-sync-20260901_045724,correctness,route zero-element inputs with only non-reduced zero dims to zero-work mode7 before multi-axis layer construction,op_host/square_sum_v1_tiling.cpp + Host UT + Real ST,146589376522de3510013f32a2eef60e835951c4d1f538c3f8987dd7e44f4a17,b3e7f2f2fd56fff52ba348a3b618007eefcd4a802e6d01f45153cebb47f6942a,pass-106UT+Mock+Real+44+4+4,pass-inherited-identical-kernels,pass-6rounds-17.663pct,pass-zero-work-route-and-identical-kernels,local_accepted_pending_package,,not_submitted,,pending_official,all local gates pass and s8 package remains,perf/runs/empty-nonreduce-mode7-20260901_053835/manifest.yaml
raw-tbuf-sync-closure-20260901_061856,empty-nonreduce-mode7-20260901_053835,correctness,close all audited raw TBuf MTE-Vector-Scalar and pre-SyncAll dependencies in modes1-7,op_kernel/square_sum_v1.h + sync regression + memcheck/synccheck,,,pass-160repeat-sync-regression,pass-controls,pass-inherited,pass-sync-protocol,accepted_superseded,,,,pending_official,incorporated into all-layer dense child,docs/design/SquareSumV1-raw-tbuf-sync-closure方案审核-20260901_061856.md
mode4-all-layer-dense-singlecore-20260901_075612,raw-tbuf-sync-closure-20260901_061856,performance,use disjoint dense fp32 workspace stages for every non-final mode4 layer under the existing single-core route,op_host/square_sum_v1_tiling.cpp + op_kernel/square_sum_v1.h + Host UT + multi-axis ST,b8d705aa30e69aea163e5139687aacf82ed092e269a1c6fb9ff39755dd1a776a,a1caa4208c9fca6911ea464a6651c94401683c35a0aef369c99fe99a83e24f2e,pass-107UT+467RealST+44+4+4+rank8+case4,pass-three-layer-about-80pct,pass-6rounds-17.4918pct,pass-singlecore-no-syncall-no-regression,package_verified,SquareSumV1-20260901_090646,not_submitted,,pending_official,all local gates pass and official hidden score is unknown,perf/runs/mode4-all-layer-dense-singlecore-20260901_075612/manifest.yaml
