spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_same_big,Greater,1050,150,900,308.032,309.732,308.17529444444443,1.3163295927068586,0.004271366382823905,306.012,332.653,40,[40],0.991,0.172,0.243,0.468,PASS,specs/f16_same_big/profile/PROF_000001_20260831185833384_JMRPPQCKNOKHNBOA/mindstudio_profiler_output/op_summary_20260831185853.csv
f16_same_med,Greater,1050,150,900,33.221,33.861,33.14174222222222,0.50082899298791,0.015111727972227538,31.661,36.161,20,[20],0.919,0.309,0.468,0.326,PASS,specs/f16_same_med/profile/PROF_000001_20260831185901278_HGQKEKPOCCAFARNB/mindstudio_profiler_output/op_summary_20260831185916.csv
f16_same_sml,Greater,1050,150,900,2.8,3.08,2.8193522222222223,0.1372893106851187,0.04869533845505364,2.56,3.4,8,[8],0.247,0.099,0.943,0.071,PASS,specs/f16_same_sml/profile/PROF_000001_20260831185924302_MBHGKCNAIMPEEBEA/mindstudio_profiler_output/op_summary_20260831185938.csv
f16_same_12m,Greater,1050,150,900,66.203,67.02395,66.17200111111111,0.5557029992109983,0.008397856946745543,64.823,67.603,20,[20],0.958,0.3115,0.451,0.248,PASS,specs/f16_same_12m/profile/PROF_000001_20260831185946454_GQMAMHNJEBOBOKQA/mindstudio_profiler_output/op_summary_20260831190003.csv
f16_same_14m,Greater,1050,150,900,74.963,76.165,75.06122444444445,0.6510533248873808,0.00867363048905829,73.663,77.323,40,[40],0.965,0.159,0.245,0.551,PASS,specs/f16_same_14m/profile/PROF_000001_20260831190010410_RPFARPDQHIEGBANC/mindstudio_profiler_output/op_summary_20260831190027.csv
f16_bouter,Greater,1050,150,900,52.662,54.02395,52.667765555555555,0.8214544361018193,0.015596910699302866,50.422,54.762,40,[40],0.656,0.585,0.623,0.152,PASS,specs/f16_bouter/profile/PROF_000001_20260831190034807_ELFEPRQAQGNRKHJB/mindstudio_profiler_output/op_summary_20260831190051.csv
f16_bouter_big,Greater,1050,150,900,198.528,200.51,198.58297666666667,1.1684127849874897,0.0058837509871188,195.308,201.928,40,[40],0.681,0.6,0.606,0.155,PASS,specs/f16_bouter_big/profile/PROF_000001_20260831190058494_CHQGKBCBLGKLEOKC/mindstudio_profiler_output/op_summary_20260831190117.csv
f16_binner,Greater,1050,150,900,54.942,56.002,54.91630111111111,0.6670295524011984,0.012146294249709392,52.642,57.162,40,[40],0.674,0.525,0.627,0.147,PASS,specs/f16_binner/profile/PROF_000001_20260831190124544_LGMNGBDQPLJHCOIB/mindstudio_profiler_output/op_summary_20260831190140.csv
f16_bboth,Greater,1050,150,900,54.342,55.30199999999999,54.35188888888889,0.5780715342978169,0.010635721151836391,52.682,56.402,40,[40],0.671,0.528,0.744,0.148,PASS,specs/f16_bboth/profile/PROF_000001_20260831190147800_FJNIINIJKAMBIQJB/mindstudio_profiler_output/op_summary_20260831190204.csv
f16_3d_bouter,Greater,1050,150,900,91.324,92.80494999999999,91.38069888888889,0.8492936302853155,0.009294015482612843,88.783,93.924,40,[40],0.936,0.354,0.35,0.351,PASS,specs/f16_3d_bouter/profile/PROF_000001_20260831190211779_RQOEPNMIQAGJBKLC/mindstudio_profiler_output/op_summary_20260831190228.csv
f16_5d_bcast,Greater,1050,150,900,4.8,5.18005,4.797145555555555,0.23392239437761836,0.04876283024322949,4.34,5.34,20,[20],0.382,0.176,0.801,0.099,PASS,specs/f16_5d_bcast/profile/PROF_000001_20260831190235653_ILBJBHIBBKRCGNRB/mindstudio_profiler_output/op_summary_20260831190251.csv
f16_tail_same,Greater,1050,150,900,42.882,43.72295,42.89833111111111,0.4904011819462928,0.011431707696882265,41.662,44.762,20,[20],0.939,0.317,0.472,0.314,PASS,specs/f16_tail_same/profile/PROF_000001_20260831190258798_JRFHDLKODFHIRCLA/mindstudio_profiler_output/op_summary_20260831190315.csv
f16_tail_bouter,Greater,1050,150,900,35.9615,37.24105,36.02390222222222,0.7240774447495666,0.020099917001853894,34.182,39.862,40,[40],0.629,0.282,0.295,0.425,PASS,specs/f16_tail_bouter/profile/PROF_000001_20260831190322830_RDBGPKMOHIMOLELA/mindstudio_profiler_output/op_summary_20260831190339.csv
f16_tail_bouter_rev,Greater,1050,150,900,33.681,35.08105,33.75628333333333,0.6863546643520227,0.020332649112299275,32.161,36.162,40,[40],0.607,0.3,0.309,0.42,PASS,specs/f16_tail_bouter_rev/profile/PROF_000001_20260831190346958_QJOLMCHGHCAEKQDA/mindstudio_profiler_output/op_summary_20260831190403.csv
f16_tail_binner,Greater,1050,150,900,39.122,40.261,39.16310222222222,0.6059569608804788,0.015472649675250756,37.661,41.102,40,[40],0.432,0.408,0.485,0.318,PASS,specs/f16_tail_binner/profile/PROF_000001_20260831190410881_MIPQJHNLEMCBPNKA/mindstudio_profiler_output/op_summary_20260831190426.csv
f16_tail_binner_rev,Greater,1050,150,900,39.442,40.441,39.46284444444444,0.5755029280958643,0.014583412224784098,38.041,41.622,40,[40],0.434,0.406,0.494,0.317,PASS,specs/f16_tail_binner_rev/profile/PROF_000001_20260831190433949_KCBRRCJDAMRRIONB/mindstudio_profiler_output/op_summary_20260831190450.csv
f16_p1_rows2,Greater,1050,150,900,2.98,3.16,2.9839599999999997,0.09757567183131945,0.03270006026599534,2.76,3.36,1,[1],0.331,0.125,0.645,0.111,PASS,specs/f16_p1_rows2/profile/PROF_000001_20260831190457805_FQICPKANAIDOECNC/mindstudio_profiler_output/op_summary_20260831190511.csv
f16_p1_rows2_rev,Greater,1050,150,900,2.961,3.161,2.9901577777777777,0.09665631896085089,0.03232482234856645,2.78,3.36,1,[1],0.343,0.125,0.588,0.151,PASS,specs/f16_p1_rows2_rev/profile/PROF_000001_20260831190519165_AAOGEMLFCHERFMJA/mindstudio_profiler_output/op_summary_20260831190534.csv
f16_p1_partial_tail,Greater,1050,150,900,58.682,59.52395,58.72601777777778,0.45042067709044764,0.007669865830079987,57.702,60.902,16,[16],0.537,0.403,0.358,0.447,PASS,specs/f16_p1_partial_tail/profile/PROF_000001_20260831190542233_RLCHCHFEHQNOGFGB/mindstudio_profiler_output/op_summary_20260831190557.csv
f16_p2_5d_tail,Greater,1050,150,900,3.82,4.02,3.84688,0.09451637741682652,0.02456961938423515,3.64,4.24,2,[2],0.295,0.229,0.59,0.118,PASS,specs/f16_p2_5d_tail/profile/PROF_000001_20260831190605233_PJIOGMOPBFKMIPBC/mindstudio_profiler_output/op_summary_20260831190620.csv
f16_p1_large_inner,Greater,1050,150,900,354.114,355.69595,354.17368,0.8873223639692627,0.002505331180931521,352.134,357.654,20,[20],0.909,0.419,0.907,0.539,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260831190628412_CDQCBEOQMQQKENAA/mindstudio_profiler_output/op_summary_20260831190647.csv
f16_p2_large_inner,Greater,1050,150,900,454.519,456.73900000000003,454.57991,1.2999013619459323,0.0028595662354412724,451.118,459.839,20,[20],0.662,0.393,0.554,0.451,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260831190655253_LGQLJKHGQOMLLRKA/mindstudio_profiler_output/op_summary_20260831190712.csv
f16_p1_tiny_inner_big,Greater,1050,150,900,1401.116,1412.958,1401.4718777777778,6.552860818888831,0.00467569911518972,1382.215,1423.857,40,[40],0.778,0.201,0.17,0.756,PASS,specs/f16_p1_tiny_inner_big/profile/PROF_000001_20260831190720290_QMKAFLKGFHJBOIAA/mindstudio_profiler_output/op_summary_20260831190736.csv
f16_p2_tiny_inner_big,Greater,1050,150,900,1452.4279999999999,1465.019,1452.6747599999999,7.353061307310487,0.005061739564684449,1429.517,1480.319,40,[40],0.769,0.205,0.17,0.774,PASS,specs/f16_p2_tiny_inner_big/profile/PROF_000001_20260831190744487_OFCCFMEIRIDRNOAC/mindstudio_profiler_output/op_summary_20260831190802.csv
f16_vec,Greater,1050,150,900,308.533,310.692,308.8236522222222,1.005452396876129,0.00325574932373583,306.392,312.173,40,[40],0.991,0.171,0.243,0.454,PASS,specs/f16_vec/profile/PROF_000001_20260831190810413_BBNGQQGOMKDDRIOB/mindstudio_profiler_output/op_summary_20260831190829.csv
f32_same_big,Greater,1050,150,900,539.042,540.402,539.10731,0.7723551748530098,0.0014326557264693921,536.922,541.562,40,[40],0.995,0.139,0.252,0.454,PASS,specs/f32_same_big/profile/PROF_000001_20260831190837390_JQNMIGOAJQJCDRRA/mindstudio_profiler_output/op_summary_20260831190857.csv
