spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f16_same_big,control,308.032,309.772,1.740000000000009,0.005648763764803687,0,1,40,40,yes,no,
f16_same_med,control,33.221,33.081,-0.13999999999999346,-0.004214201860268911,1,1,20,20,yes,no,
f16_same_sml,control,2.8,2.8,0.0,0.0,0,1,8,8,yes,no,
f16_same_12m,control,66.203,65.482,-0.7210000000000036,-0.010890745132395867,1,1,20,20,yes,no,
f16_same_14m,control,74.963,77.743,2.780000000000001,0.03708496191454453,0,1,40,40,yes,no,
f16_bouter,control,52.662,53.162,0.5,0.009494512171964604,0,1,40,40,yes,no,
f16_bouter_big,control,198.528,199.598,1.0700000000000216,0.005389667956157427,0,1,40,40,yes,no,
f16_binner,control,54.942,52.042,-2.8999999999999986,-0.05278293473117103,1,1,40,40,yes,no,
f16_bboth,control,54.342,52.562,-1.7800000000000011,-0.03275551139082112,1,1,40,40,yes,no,
f16_3d_bouter,control,91.324,91.824,0.5,0.0054750120450264995,0,1,40,40,yes,no,
f16_5d_bcast,control,4.8,4.661,-0.13900000000000023,-0.028958333333333384,1,1,20,20,yes,no,
f16_tail_same,control,42.882,43.792,0.9100000000000037,0.021221025138752944,0,1,20,20,yes,no,
f16_tail_bouter,control,35.9615,34.962,-0.9994999999999976,-0.02779361261348936,1,1,40,40,yes,no,
f16_tail_bouter_rev,control,33.681,34.961,1.2800000000000011,0.0380036222202429,0,1,40,40,yes,no,
f16_tail_binner,control,39.122,39.6415,0.5195000000000007,0.013278973467614148,0,1,40,40,yes,no,
f16_tail_binner_rev,control,39.442,38.5715,-0.8704999999999998,-0.02207038182647938,1,1,40,40,yes,no,
f16_p1_rows2,control,2.98,2.94,-0.040000000000000036,-0.01342281879194632,1,1,1,1,yes,no,
f16_p1_rows2_rev,control,2.961,2.94,-0.020999999999999908,-0.007092198581560253,1,1,1,1,yes,no,
f16_p1_partial_tail,control,58.682,58.682,0.0,0.0,0,1,16,16,yes,no,
f16_p2_5d_tail,control,3.82,3.96,0.14000000000000012,0.036649214659685896,0,1,2,2,yes,no,
f16_p1_large_inner,target,354.114,235.149,-118.96499999999997,-0.3359511343804537,1,1,20,40,yes,no,
f16_p2_large_inner,control,454.519,452.578,-1.941000000000031,-0.004270448540105102,1,1,20,20,yes,no,
f16_p1_tiny_inner_big,control,1401.116,1402.086,0.9700000000000273,0.0006923052766509177,0,1,40,40,yes,no,
