spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_same_big,Greater,1050,150,900,309.772,310.813,309.7586255555555,0.6149984596297079,0.0019854118945895416,308.052,311.813,40,[40],0.991,0.171,0.257,0.4865,PASS,specs/f16_same_big/profile/PROF_000001_20260831193556060_QQQRNCGDAMPNLCHC/mindstudio_profiler_output/op_summary_20260831193617.csv
f16_same_med,Greater,1050,150,900,33.081,33.601,33.091946666666665,0.3014762298350494,0.009110259752072088,32.321,34.442,20,[20],0.922,0.312,0.484,0.277,PASS,specs/f16_same_med/profile/PROF_000001_20260831193625053_BQDBCHAAFMPAGOJA/mindstudio_profiler_output/op_summary_20260831193640.csv
f16_same_sml,Greater,1050,150,900,2.8,3.0,2.805502222222222,0.11261835747117857,0.040141959817081956,2.58,3.46,8,[8],0.236,0.099,0.943,0.07,PASS,specs/f16_same_sml/profile/PROF_000001_20260831193648002_KOOMCCIOBIAHRPJC/mindstudio_profiler_output/op_summary_20260831193703.csv
f16_same_12m,Greater,1050,150,900,65.482,66.624,65.52454666666667,0.7559213032526012,0.01153645987202457,63.883,68.863,20,[20],0.958,0.316,0.472,0.247,PASS,specs/f16_same_12m/profile/PROF_000001_20260831193711433_KLKDNCQDOOKFQIMB/mindstudio_profiler_output/op_summary_20260831193727.csv
f16_same_14m,Greater,1050,150,900,77.743,78.863,77.82376666666667,0.5266979748078273,0.006767829383840677,76.563,79.843,40,[40],0.962,0.153,0.242,0.736,PASS,specs/f16_same_14m/profile/PROF_000001_20260831193735121_LCLPQRRQPLNCRCKB/mindstudio_profiler_output/op_summary_20260831193749.csv
f16_bouter,Greater,1050,150,900,53.162,54.58395,53.230195555555554,0.771753447663337,0.014498414661239963,51.262,55.462,40,[40],0.661,0.58,0.616,0.151,PASS,specs/f16_bouter/profile/PROF_000001_20260831193757378_DRFKOBJABRRHORPA/mindstudio_profiler_output/op_summary_20260831193813.csv
f16_bouter_big,Greater,1050,150,900,199.598,201.808,199.54661555555555,1.3986768942199235,0.007009273949978467,195.708,203.668,40,[40],0.682,0.599,0.605,0.155,PASS,specs/f16_bouter_big/profile/PROF_000001_20260831193821311_FLJMMBIACJIPBAJA/mindstudio_profiler_output/op_summary_20260831193837.csv
f16_binner,Greater,1050,150,900,52.042,53.22395,52.05304777777778,0.6839911101969053,0.013140270155111097,50.222,53.982,40,[40],0.657,0.553,0.665,0.155,PASS,specs/f16_binner/profile/PROF_000001_20260831193845355_FKABLBKNDBGABMEB/mindstudio_profiler_output/op_summary_20260831193900.csv
f16_bboth,Greater,1050,150,900,52.562,54.882999999999996,52.73351666666667,1.1969755380170102,0.02269857224928125,50.522,56.242,40,[40],0.658,0.548,0.771,0.153,PASS,specs/f16_bboth/profile/PROF_000001_20260831193907495_CHBCFDDLMJGGNQLC/mindstudio_profiler_output/op_summary_20260831193923.csv
f16_3d_bouter,Greater,1050,150,900,91.824,92.94305,91.82683777777777,0.6907964954517323,0.007522816990861315,89.904,93.944,40,[40],0.942,0.351,0.347,0.41,PASS,specs/f16_3d_bouter/profile/PROF_000001_20260831193930294_EREAKLKCMMOHELHA/mindstudio_profiler_output/op_summary_20260831193946.csv
