spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f16_p1_large_inner,target,369.7345,233.19,-136.54450000000003,-0.36930418989842717,1,1,20,40,yes,no,
f16_p1_large_inner_rev,target,354.795,232.96949999999998,-121.82550000000003,-0.34336870587240526,1,1,20,40,yes,no,
f32_p1_large_inner,target,232.78949999999998,202.13799999999998,-30.6515,-0.13167045764521168,1,1,20,40,yes,no,
f32_p1_large_inner_rev,target,236.25,202.5385,-33.7115,-0.1426941798941799,1,1,20,40,yes,no,
bf16_p1_large_inner,control,95.723,66.222,-29.501000000000005,-0.3081913437731789,1,1,20,40,yes,no,
i32_p1_large_inner,control,151.126,114.925,-36.20100000000001,-0.2395418392599553,1,1,20,39,yes,no,
i8_p1_large_inner_3d,control,148.026,50.302,-97.72400000000002,-0.6601813194979261,1,1,20,40,yes,no,
f16_p2_large_inner,control,454.538,451.328,-3.2100000000000364,-0.0070621158186995065,1,1,20,20,yes,no,
f32_p2_large_inner,control,278.831,280.231,1.3999999999999773,0.005020962518514718,0,1,20,20,yes,no,
f16_p1_n10000,control,4.76,4.68,-0.08000000000000007,-0.016806722689075647,1,1,20,20,yes,no,
f16_p1_large_inner_partial,control,24.561,24.141,-0.4200000000000017,-0.01710028093318683,1,1,20,20,yes,no,
f16_p1_tile_minus_1,control,124.185,122.805,-1.3799999999999955,-0.011112453194830257,1,1,40,40,yes,no,
f16_p1_tile_exact,control,102.504,101.904,-0.6000000000000085,-0.005853430110044569,1,1,40,40,yes,no,
f16_p1_tile_plus_1,control,186.588,115.985,-70.603,-0.37838982142474326,1,1,20,40,yes,no,
f32_p1_tile_minus_1,control,125.2645,125.35499999999999,0.09049999999999159,0.0007224712508331697,0,1,40,40,yes,no,
f32_p1_tile_exact,control,106.124,106.644,0.5200000000000102,0.004899928385662152,0,1,40,40,yes,no,
f32_p1_tile_plus_1,control,178.787,120.025,-58.762,-0.3286704290580411,1,1,20,40,yes,no,
f16_p1_tiny_inner_big,control,1401.496,1396.146,-5.350000000000136,-0.003817349460861919,1,1,40,40,yes,no,
f16_same_med,control,34.1015,33.341499999999996,-0.7600000000000051,-0.02228640968872352,1,1,20,20,yes,no,
scalar,control,2.021,2.16,0.13900000000000023,0.06877783275606147,0,1,1,1,yes,no,
