spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p1_large_inner,Greater,1050,150,900,353.274,354.276,353.3978622222222,1.005391251048043,0.0028449273708844253,352.134,366.974,20,[20],0.663,0.418,0.898,0.499,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260831184858981_ACBMGQCMCHBRCMIA/mindstudio_profiler_output/op_summary_20260831184917.csv
f16_p1_large_inner_rev,Greater,1050,150,900,354.274,356.01405,354.39110555555555,0.8534014653609672,0.0024080781147798446,352.494,357.215,20,[20],0.754,0.418,0.905,0.505,PASS,specs/f16_p1_large_inner_rev/profile/PROF_000001_20260831184924987_REIDMEGODQAQFFJB/mindstudio_profiler_output/op_summary_20260831184942.csv
f32_p1_large_inner,Greater,1050,150,900,230.749,232.01,230.77223111111113,0.726095533910953,0.003146373072769557,228.669,233.449,20,[20],0.983,0.411,0.726,0.55,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260831184950375_NQNCAOMNDKDCHPJB/mindstudio_profiler_output/op_summary_20260831185007.csv
f32_p1_large_inner_rev,Greater,1050,150,900,233.249,234.809,233.29873333333333,0.8728876445453908,0.0037415018593273865,230.829,236.83,20,[20],0.98,0.406,0.713,0.534,PASS,specs/f32_p1_large_inner_rev/profile/PROF_000001_20260831185015023_ARDIPJIJQJORKNMB/mindstudio_profiler_output/op_summary_20260831185031.csv
bf16_p1_large_inner,Greater,1050,150,900,95.624,96.284,95.64673222222221,0.3740096292069309,0.003910323128844279,94.623,97.003,20,[20],0.909,0.753,0.824,0.597,PASS,specs/bf16_p1_large_inner/profile/PROF_000001_20260831185039178_JLAKFKEIKQAABPIC/mindstudio_profiler_output/op_summary_20260831185055.csv
i32_p1_large_inner,Greater,1050,150,900,150.446,151.70794999999998,150.51543777777778,0.6543009972614162,0.004347069024424137,149.026,153.086,20,[20],0.822,0.791,0.792,0.572,PASS,specs/i32_p1_large_inner/profile/PROF_000001_20260831185102889_LNBCJMRMKJKRNLJB/mindstudio_profiler_output/op_summary_20260831185118.csv
i8_p1_large_inner_3d,Greater,1050,150,900,147.866,148.666,147.90158666666667,0.4227982211672871,0.002858645608178423,146.946,149.326,20,[20],0.917,0.39,0.57,0.573,PASS,specs/i8_p1_large_inner_3d/profile/PROF_000001_20260831185126345_FDMGOIQAIELMIPIB/mindstudio_profiler_output/op_summary_20260831185142.csv
f16_p2_large_inner,Greater,1050,150,900,453.678,455.64,453.69335333333333,1.1618607516680592,0.002560894364291971,450.018,457.719,20,[20],0.661,0.394,0.556,0.451,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260831185150491_KBCFGDLHNCKCJREB/mindstudio_profiler_output/op_summary_20260831185208.csv
f32_p2_large_inner,Greater,1050,150,900,276.411,278.052,276.42707444444443,0.9692489452103413,0.003506345922006053,273.231,280.671,20,[20],0.718,0.444,0.462,0.423,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260831185216417_MGDCEIIRCLEDJKGA/mindstudio_profiler_output/op_summary_20260831185232.csv
f16_p1_n10000,Greater,1050,150,900,4.82,5.26,4.834077777777778,0.24862315203615906,0.05143135122464888,4.341,5.78,20,[20],0.377,0.155,0.811,0.135,PASS,specs/f16_p1_n10000/profile/PROF_000001_20260831185240333_FIHKNPDGMJAOGMCA/mindstudio_profiler_output/op_summary_20260831185255.csv
f16_p1_large_inner_partial,Greater,1050,150,900,24.341,24.802,24.374797777777776,0.2541214390263826,0.010425581428128288,23.841,25.281,20,[20],0.756,0.408,0.973,0.416,PASS,specs/f16_p1_large_inner_partial/profile/PROF_000001_20260831185303335_MERJARAPPDOOJBFC/mindstudio_profiler_output/op_summary_20260831185318.csv
f16_p1_tile_minus_1,Greater,1050,150,900,122.805,124.264,122.85027333333333,0.8072738064759826,0.0065712007354316775,120.184,125.645,40,[40],0.614,0.346,0.303,0.295,PASS,specs/f16_p1_tile_minus_1/profile/PROF_000001_20260831185326425_OLFCHIKPQOCPCQHC/mindstudio_profiler_output/op_summary_20260831185341.csv
f16_p1_tile_exact,Greater,1050,150,900,102.404,104.165,102.51769111111112,0.9356932546566085,0.009127139369950127,100.204,105.424,40,[40],0.957,0.285,0.266,0.531,PASS,specs/f16_p1_tile_exact/profile/PROF_000001_20260831185349649_CHHPBIKCMMFOFQCA/mindstudio_profiler_output/op_summary_20260831185405.csv
f16_p1_tile_plus_1,Greater,1050,150,900,178.907,179.927,178.95937111111112,0.5117167120464743,0.002859401599756198,177.787,180.867,20,[20],0.645,0.394,0.894,0.419,PASS,specs/f16_p1_tile_plus_1/profile/PROF_000001_20260831185413777_HPBJEPDNMRPLJFLC/mindstudio_profiler_output/op_summary_20260831185430.csv
f32_p1_tile_minus_1,Greater,1050,150,900,127.805,129.406,127.84281666666666,0.9389467649978882,0.007344540659222711,124.905,131.585,40,[40],0.661,0.3,0.3,0.287,PASS,specs/f32_p1_tile_minus_1/profile/PROF_000001_20260831185437820_PCKDDKNIFJLJIQGC/mindstudio_profiler_output/op_summary_20260831185453.csv
