spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p1_large_inner,Greater,1050,150,900,229.149,231.23095,229.2365411111111,1.1276060223514284,0.004918962818431626,226.448,233.27,40,[40],0.947,0.324,0.436,0.679,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260831184007928_KKEHAIHEJJMFJEEB/mindstudio_profiler_output/op_summary_20260831184026.csv
f16_p1_large_inner_rev,Greater,1050,150,900,231.529,233.749,231.60403333333335,1.289399717784296,0.0055672593401192745,229.149,234.95,40,[40],0.949,0.319,0.419,0.684,PASS,specs/f16_p1_large_inner_rev/profile/PROF_000001_20260831184033894_JFOAPCDRKGMORFKC/mindstudio_profiler_output/op_summary_20260831184052.csv
f32_p1_large_inner,Greater,1050,150,900,198.1275,200.20999999999998,198.32340444444446,1.0461298786916267,0.005274868498864817,195.968,202.509,40,[40],0.978,0.24,0.259,0.664,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260831184059875_QAFGOMPADDEONBEA/mindstudio_profiler_output/op_summary_20260831184116.csv
f32_p1_large_inner_rev,Greater,1050,150,900,200.208,201.328,200.26245333333335,0.6004241140319991,0.002998186150414345,198.568,202.788,40,[40],0.979,0.236,0.25,0.654,PASS,specs/f32_p1_large_inner_rev/profile/PROF_000001_20260831184123932_LHONJCCPJBLQRNGC/mindstudio_profiler_output/op_summary_20260831184140.csv
bf16_p1_large_inner,Greater,1050,150,900,63.443,64.602,63.45477888888889,0.7216390225643664,0.01137249290282733,61.183,66.083,40,[40],0.875,0.584,0.522,0.545,PASS,specs/bf16_p1_large_inner/profile/PROF_000001_20260831184148177_OEBHKRCILOBLDOOA/mindstudio_profiler_output/op_summary_20260831184204.csv
i32_p1_large_inner,Greater,1050,150,900,110.485,113.80404999999999,110.76767777777778,1.6960477641844471,0.01531175698733217,107.904,115.664,39,[39],0.911,0.566,0.435,0.538,PASS,specs/i32_p1_large_inner/profile/PROF_000001_20260831184212214_LDEGLFRLJILMBBNC/mindstudio_profiler_output/op_summary_20260831184227.csv
i8_p1_large_inner_3d,Greater,1050,150,900,48.362,49.483000000000004,48.373804444444445,0.6799327479670506,0.014055804702066148,46.402,50.243,40,[40],0.87,0.643,0.622,0.625,PASS,specs/i8_p1_large_inner_3d/profile/PROF_000001_20260831184235082_EEIIRBQOFRDOPPAC/mindstudio_profiler_output/op_summary_20260831184250.csv
f16_p2_large_inner,Greater,1050,150,900,450.918,452.99899999999997,450.9699277777778,1.1442958010669737,0.0025374104360032686,447.758,456.098,20,[20],0.665,0.404,0.553,0.452,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260831184258189_PCKBDKIRRMIIRBHB/mindstudio_profiler_output/op_summary_20260831184316.csv
f32_p2_large_inner,Greater,1050,150,900,280.471,282.35200000000003,280.53085333333337,0.9884633015387517,0.0035235457697205103,278.091,284.711,20,[20],0.718,0.444,0.458,0.42,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260831184324288_QHJLLCFKDOCALGMA/mindstudio_profiler_output/op_summary_20260831184340.csv
f16_p1_n10000,Greater,1050,150,900,4.74,5.1,4.756262222222222,0.21042095933721777,0.04424082388773444,4.3,5.54,20,[20],0.352,0.156,0.726,0.153,PASS,specs/f16_p1_n10000/profile/PROF_000001_20260831184348231_MBRKCPFHBLIJIEQA/mindstudio_profiler_output/op_summary_20260831184403.csv
