spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f16_p1_large_inner,target,361.50425,231.1695,-130.33475,-0.3603301805145255,2,2,20,40,yes,no,
f16_p1_large_inner_rev,target,354.5345,232.24925,-122.28525000000002,-0.3449189114982196,2,2,20,40,yes,no,
f32_p1_large_inner,target,231.76925,200.13275,-31.636499999999998,-0.13652134230522114,2,2,20,40,yes,no,
f32_p1_large_inner_rev,target,234.7495,201.37324999999998,-33.37625,-0.14217483197385106,2,2,20,40,yes,no,
bf16_p1_large_inner,control,95.67349999999999,64.8325,-30.841,-0.322364098223074,2,2,20,40,yes,no,
i32_p1_large_inner,control,150.786,112.705,-38.081,-0.2525793691733354,2,2,20,39,yes,no,
i8_p1_large_inner_3d,control,147.94600000000003,49.332,-98.61400000000002,-0.6665574607715106,2,2,20,40,yes,no,
f16_p2_large_inner,control,454.108,451.123,-2.9850000000000136,-0.006572862889974768,2,2,20,20,yes,no,
f32_p2_large_inner,control,277.621,280.351,2.7299999999999898,0.009854617346460839,0,2,20,20,yes,no,
f16_p1_n10000,control,4.79,4.71,-0.08000000000000007,-0.016702116531259824,2,2,20,20,yes,no,
f16_p1_large_inner_partial,control,24.451,24.521,0.06999999999999851,0.0029530845447043683,1,2,20,20,yes,no,
f16_p1_tile_minus_1,control,123.495,123.685,0.18999999999999773,0.0016096054126821429,1,2,40,40,yes,no,
f16_p1_tile_exact,control,102.45400000000001,101.87424999999999,-0.5797500000000042,-0.005658541936784715,2,2,40,40,yes,no,
f16_p1_tile_plus_1,control,182.7475,114.77975,-67.96775,-0.37178279156667027,2,2,20,40,yes,no,
f32_p1_tile_minus_1,control,126.53475,125.35999999999999,-1.1747500000000102,-0.009184556792720467,1,2,40,40,yes,no,
f32_p1_tile_exact,control,106.814,106.004,-0.8099999999999952,-0.007503153830684331,1,2,40,40,yes,no,
f32_p1_tile_plus_1,control,182.7475,116.85975,-65.88775,-0.35986379391501366,2,2,20,40,yes,no,
f16_p1_tiny_inner_big,control,1402.486,1394.2907500000001,-8.195250000000101,-0.005841944697284708,2,2,40,40,yes,no,
f16_same_med,control,33.28125,33.051249999999996,-0.23000000000000043,-0.006522275113299804,1,2,20,20,yes,no,
scalar,control,2.1105,2.18,0.06950000000000012,0.03438891637803074,0,2,1,1,yes,no,
