spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_same_big,Greater,1050,150,900,310.513,311.872,310.46253888888884,0.8826631820417682,0.0028430585706111992,308.073,312.753,40,[40],0.991,0.17,0.241,0.485,PASS,specs/f16_same_big/profile/PROF_000001_20260831164827819_GLMKRHANBIFOBQCA/mindstudio_profiler_output/op_summary_20260831164847.csv
f16_same_med,Greater,1050,150,900,34.481,35.04295,34.50145777777778,0.31640280830955475,0.009170708389990068,33.701,35.722,20,[20],0.924,0.296,0.448,0.309,PASS,specs/f16_same_med/profile/PROF_000001_20260831164854740_IDAICCHQROOBCKJA/mindstudio_profiler_output/op_summary_20260831164910.csv
f16_same_sml,Greater,1050,150,900,2.84,3.10005,2.8633466666666667,0.1358480026434773,0.04744378465413803,2.58,3.4,8,[8],0.252,0.097,0.942,0.067,PASS,specs/f16_same_sml/profile/PROF_000001_20260831164918020_CJRFDHHENCBCFMHB/mindstudio_profiler_output/op_summary_20260831164933.csv
f16_same_12m,Greater,1050,150,900,68.943,69.703,68.96124444444445,0.4154334900936108,0.006024158836464824,67.782,70.183,20,[20],0.967,0.296,0.43,0.185,PASS,specs/f16_same_12m/profile/PROF_000001_20260831164941016_AEQAEEPKORJJECOB/mindstudio_profiler_output/op_summary_20260831164957.csv
f16_same_14m,Greater,1050,150,900,76.583,77.563,76.64331333333334,0.5167855278761418,0.006742734694004728,75.443,78.643,40,[40],0.964,0.155,0.237,0.651,PASS,specs/f16_same_14m/profile/PROF_000001_20260831165004967_GAPRKCNFJOHOOAMA/mindstudio_profiler_output/op_summary_20260831165021.csv
f16_bouter,Greater,1050,150,900,53.542,54.642050000000005,53.55360777777778,0.6871951853937825,0.012831912058013319,51.382,55.842,40,[40],0.661,0.579,0.615,0.151,PASS,specs/f16_bouter/profile/PROF_000001_20260831165028924_MKFQARAONLQCOCAA/mindstudio_profiler_output/op_summary_20260831165043.csv
f16_bouter_big,Greater,1050,150,900,200.348,202.108,200.42147444444444,0.9848246896513682,0.0049137683094151435,197.868,204.268,40,[40],0.683,0.598,0.604,0.155,PASS,specs/f16_bouter_big/profile/PROF_000001_20260831165051015_HEQLAREROOIKIKMA/mindstudio_profiler_output/op_summary_20260831165108.csv
f16_binner,Greater,1050,150,900,53.102,54.782,53.14548111111111,0.9231156221543607,0.017369597618740254,50.782,55.943,40,[40],0.666,0.542,0.646,0.151,PASS,specs/f16_binner/profile/PROF_000001_20260831165116170_AIEBDMMDHCIMPLAC/mindstudio_profiler_output/op_summary_20260831165132.csv
f16_bboth,Greater,1050,150,900,53.982,55.06205,53.991436666666665,0.6252898771236692,0.011581278730997575,51.982,56.222,40,[40],0.667,0.538,0.755,0.151,PASS,specs/f16_bboth/profile/PROF_000001_20260831165140179_HLGBLABQRFBELFCC/mindstudio_profiler_output/op_summary_20260831165156.csv
f16_3d_bouter,Greater,1050,150,900,91.1735,92.22495,91.21581,0.6003438112263487,0.0065815762774715115,89.083,93.744,40,[40],0.941,0.354,0.348,0.382,PASS,specs/f16_3d_bouter/profile/PROF_000001_20260831165204211_ADBJMRBECMMHMKCC/mindstudio_profiler_output/op_summary_20260831165220.csv
f16_5d_bcast,Greater,1050,150,900,4.74,5.1,4.737473333333333,0.219196868286631,0.046268728679555844,4.26,5.42,20,[20],0.366,0.178,0.819,0.1,PASS,specs/f16_5d_bcast/profile/PROF_000001_20260831165228167_HKMKRIREAPLCKLEC/mindstudio_profiler_output/op_summary_20260831165243.csv
f16_tail_same,Greater,1050,150,900,44.302,44.942,44.33804666666666,0.37133071818349017,0.008374990467558342,43.222,45.621,20,[20],0.946,0.308,0.46,0.211,PASS,specs/f16_tail_same/profile/PROF_000001_20260831165251417_KECKJABCIHKKMAEC/mindstudio_profiler_output/op_summary_20260831165307.csv
f16_tail_bouter,Greater,1050,150,900,33.422,34.722,33.48814111111111,0.6558190901281719,0.01958362179471873,31.921,36.241,40,[40],0.608,0.302,0.309,0.419,PASS,specs/f16_tail_bouter/profile/PROF_000001_20260831165315282_EKHGPMEGNLICCNIC/mindstudio_profiler_output/op_summary_20260831165328.csv
f16_tail_bouter_rev,Greater,1050,150,900,35.921,37.64295,36.04696666666667,0.7502801173191547,0.02081395986123163,34.321,39.241,40,[40],0.635,0.281,0.288,0.421,PASS,specs/f16_tail_bouter_rev/profile/PROF_000001_20260831165336255_DFOLIGNILIRGNGDA/mindstudio_profiler_output/op_summary_20260831165351.csv
f16_tail_binner,Greater,1050,150,900,38.911500000000004,39.98295,38.96452888888889,0.5818712803904399,0.014933358543861826,37.521,41.422,40,[40],0.431,0.411,0.483,0.313,PASS,specs/f16_tail_binner/profile/PROF_000001_20260831165358377_RLEIRKLREMKPKBJC/mindstudio_profiler_output/op_summary_20260831165415.csv
f16_tail_binner_rev,Greater,1050,150,900,38.942,40.123,38.98786888888889,0.6429429545534165,0.016490846329296243,37.441,41.821,40,[40],0.433,0.41,0.495,0.314,PASS,specs/f16_tail_binner_rev/profile/PROF_000001_20260831165422440_QFDJGNLOHCBLKCLA/mindstudio_profiler_output/op_summary_20260831165438.csv
f16_p1_rows2,Greater,1050,150,900,2.841,3.06,2.8718188888888885,0.09100463650513697,0.031688849480458296,2.72,3.26,1,[1],0.341,0.131,0.634,0.113,PASS,specs/f16_p1_rows2/profile/PROF_000001_20260831165445330_GFKBAPLGRIGCDALA/mindstudio_profiler_output/op_summary_20260831165500.csv
f16_p1_rows2_rev,Greater,1050,150,900,2.9,3.1,2.911801111111111,0.09510346061520404,0.03266138619574659,2.74,3.36,1,[1],0.312,0.129,0.668,0.111,PASS,specs/f16_p1_rows2_rev/profile/PROF_000001_20260831165507545_APOHNHNRDCQOIPKA/mindstudio_profiler_output/op_summary_20260831165522.csv
f16_p1_partial_tail,Greater,1050,150,900,58.882,59.722049999999996,58.934133333333335,0.4286988894058134,0.007274203677198048,57.903,61.043,16,[16],0.537,0.403,0.358,0.453,PASS,specs/f16_p1_partial_tail/profile/PROF_000001_20260831165529613_FPDJABGCDGPRAQLB/mindstudio_profiler_output/op_summary_20260831165545.csv
f16_p2_5d_tail,Greater,1050,150,900,3.961,4.18,3.9805844444444443,0.11302309784691615,0.028393593811245066,3.7,4.46,2,[2],0.299,0.221,0.585,0.128,PASS,specs/f16_p2_5d_tail/profile/PROF_000001_20260831165552617_EJCNNCJGIBFPBBAC/mindstudio_profiler_output/op_summary_20260831165607.csv
f16_p1_large_inner,Greater,1050,150,900,353.375,354.374,353.43215555555554,0.5408386268074004,0.0015302473708349003,352.074,355.554,20,[20],0.665,0.418,0.899,0.501,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260831165614631_CGMDCOKPBHFHKJGB/mindstudio_profiler_output/op_summary_20260831165632.csv
f16_p2_large_inner,Greater,1050,150,900,454.4085,456.49805,454.48199999999997,1.2015163752525388,0.002643705086785701,451.058,460.698,20,[20],0.662,0.393,0.554,0.451,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260831165639687_DLBRRNGPAQICBEAB/mindstudio_profiler_output/op_summary_20260831165658.csv
