spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f16_same_big,control,310.513,306.312,-4.200999999999965,-0.013529224219275732,1,1,40,40,yes,no,
f16_same_med,control,34.481,32.681,-1.8000000000000043,-0.05220266233577925,1,1,20,20,yes,no,
f16_same_sml,control,2.84,2.8,-0.040000000000000036,-0.014084507042253534,1,1,8,8,yes,no,
f16_same_12m,control,68.943,65.483,-3.4599999999999937,-0.050186385854981565,1,1,20,20,yes,no,
f16_same_14m,control,76.583,76.363,-0.21999999999999886,-0.002872700207617864,1,1,40,40,yes,no,
f16_bouter,control,53.542,53.5925,0.050499999999999545,0.0009431847895110296,0,1,40,40,yes,no,
f16_bouter_big,control,200.348,199.888,-0.46000000000000796,-0.0022960049513846303,1,1,40,40,yes,no,
f16_binner,control,53.102,54.483,1.3810000000000002,0.02600655342548304,0,1,40,40,yes,no,
f16_bboth,control,53.982,52.751999999999995,-1.230000000000004,-0.022785372902078545,1,1,40,40,yes,no,
f16_3d_bouter,control,91.1735,90.784,-0.3894999999999982,-0.0042720746708199,1,1,40,40,yes,no,
f16_5d_bcast,control,4.74,5.36,0.6200000000000001,0.1308016877637131,0,1,20,28,yes,yes,1
f16_tail_same,control,44.302,43.441,-0.8609999999999971,-0.019434788497133246,1,1,20,20,yes,no,
f16_tail_bouter,control,33.422,35.102,1.6799999999999997,0.0502662916641733,0,1,40,40,yes,yes,1
f16_tail_bouter_rev,control,35.921,34.821,-1.1000000000000014,-0.030622755491216878,1,1,40,40,yes,no,
f16_tail_binner,control,38.911500000000004,38.582,-0.329500000000003,-0.008467933644295465,1,1,40,40,yes,no,
f16_tail_binner_rev,control,38.942,38.701,-0.24099999999999966,-0.006188690873606894,1,1,40,40,yes,no,
f16_p1_rows2,control,2.841,2.84,-0.001000000000000334,-0.000351988736360554,1,1,1,1,yes,no,
f16_p1_rows2_rev,control,2.9,2.941,0.040999999999999925,0.014137931034482734,0,1,1,1,yes,no,
f16_p1_partial_tail,control,58.882,58.622,-0.259999999999998,-0.00441561088278248,1,1,16,16,yes,no,
f16_p2_5d_tail,control,3.961,3.941,-0.020000000000000018,-0.00504922999242616,1,1,2,2,yes,no,
f16_p1_large_inner,target,353.375,232.429,-120.946,-0.34225963919349134,1,1,20,40,yes,no,
f16_p2_large_inner,control,454.4085,452.099,-2.309500000000014,-0.005082431336561737,1,1,20,20,yes,no,
f16_p1_tiny_inner_big,control,1398.926,1395.4454999999998,-3.48050000000012,-0.002487980064706868,1,1,40,40,yes,no,
f16_p2_tiny_inner_big,control,1450.638,1452.448,1.8100000000001728,0.0012477268622496948,0,1,40,40,yes,no,
f16_vec,control,312.792,309.002,-3.7899999999999636,-0.012116678175912313,1,1,40,40,yes,no,
f32_same_big,control,539.1215,542.722,3.600500000000011,0.006678457453468302,0,1,40,40,yes,no,
f32_same_4m,control,42.402,43.342,0.9399999999999977,0.022168765624262954,0,1,20,20,yes,no,
f32_same_8m,control,83.363,84.983,1.6200000000000045,0.019433081822871113,0,1,40,40,yes,no,
f32_bouter,control,83.843,87.104,3.2609999999999957,0.0388941235404267,0,1,40,40,yes,no,
f32_binner,control,88.943,85.784,-3.158999999999992,-0.03551712894775296,1,1,40,40,yes,no,
f32_binner_16128,control,84.224,86.323,2.0989999999999895,0.024921637537993795,0,1,40,40,yes,no,
f32_binner_16129,control,86.943,85.0235,-1.9194999999999993,-0.02207768307971889,1,1,40,40,yes,no,
f32_tail_same,control,41.382,42.501,1.1189999999999998,0.02704074235174713,0,1,20,20,yes,no,
f32_p1_large_inner,target,233.109,205.328,-27.781000000000006,-0.11917600779034702,1,1,20,40,yes,no,
f32_p2_large_inner,control,280.391,280.311,-0.08000000000004093,-0.000285315862492166,1,1,20,20,yes,no,
f32_p1_tiny_inner_big,control,1674.537,1675.6574999999998,1.1204999999997654,0.0006691401862125264,0,1,40,40,yes,no,
f32_p2_tiny_inner_big,control,1978.5394999999999,1987.8395,9.300000000000182,0.004700436862645493,0,1,40,40,yes,no,
bf16_same_big,control,166.367,167.807,1.4399999999999977,0.008655562701737712,0,1,40,40,yes,no,
bf16_bouter,control,18.821,18.781,-0.0400000000000027,-0.0021252855852506615,1,1,40,40,yes,no,
bf16_binner,control,22.481,22.581,0.09999999999999787,0.004448200702815616,0,1,40,40,yes,no,
i32_same_big,control,158.826,162.427,3.600999999999999,0.02267261027791419,0,1,40,40,yes,no,
i32_bouter,control,30.021,30.721,0.6999999999999993,0.023317011425335574,0,1,40,40,yes,no,
i32_binner,control,31.3215,30.942,-0.37950000000000017,-0.012116277956036594,1,1,40,40,yes,no,
i8_same_big,control,177.327,179.887,2.5600000000000023,0.014436605818628873,0,1,40,40,yes,no,
i8_bouter,control,44.581500000000005,44.802,0.22049999999999415,0.004945997779347804,0,1,40,40,yes,no,
i8_binner,control,43.301500000000004,42.722,-0.579500000000003,-0.013382908213341408,1,1,40,40,yes,no,
scalar,control,2.2,2.16,-0.040000000000000036,-0.018181818181818195,1,1,1,1,yes,no,
f16_bscalar_x,control,28.821,28.641,-0.18000000000000327,-0.006245446028937346,1,1,40,40,yes,no,
f16_tail_1d,control,2.5,2.4,-0.10000000000000009,-0.040000000000000036,1,1,4,4,yes,no,
f16_tail_p1,control,3.52,3.62,0.10000000000000009,0.028409090909090936,0,1,3,3,yes,no,
f16_tail_p1_rev,control,3.56,3.66,0.10000000000000009,0.02808988764044946,0,1,3,3,yes,no,
f16_tail_p2,control,3.5205,3.52,-0.000500000000000167,-0.0001420252804999764,1,1,3,3,yes,no,
f16_tail_p2_rev,control,3.48,3.6,0.1200000000000001,0.03448275862068969,0,1,3,3,yes,no,
f32_tail_p1,control,3.44,3.42,-0.020000000000000018,-0.005813953488372098,1,1,5,5,yes,no,
f32_tail_p1_rev,control,3.42,3.54,0.1200000000000001,0.03508771929824565,0,1,5,5,yes,no,
f32_tail_p2,control,3.58,3.42,-0.16000000000000014,-0.044692737430167634,1,1,5,5,yes,no,
f32_tail_p2_rev,control,3.48,3.38,-0.10000000000000009,-0.028735632183908073,1,1,5,5,yes,no,
bf16_tail_p1,control,3.82,4.02,0.19999999999999973,0.05235602094240831,0,1,4,4,yes,no,
bf16_tail_p1_rev,control,3.86,3.98,0.1200000000000001,0.03108808290155443,0,1,4,4,yes,no,
bf16_tail_p2,control,3.74,3.78,0.03999999999999959,0.010695187165775291,0,1,4,4,yes,no,
bf16_tail_p2_rev,control,3.82,3.8,-0.020000000000000018,-0.005235602094240842,1,1,4,4,yes,no,
