spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p1_large_inner,Greater,1050,150,900,353.814,355.574,353.91733444444446,0.9246197262371771,0.0026125302047965036,351.574,357.374,20,[20],0.902,0.419,0.906,0.533,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260831163758566_BJBQHLOMEJDDKNHC/mindstudio_profiler_output/op_summary_20260831163816.csv
f16_p1_large_inner_rev,Greater,1050,150,900,370.3345,371.795,370.39884,0.7635720681696581,0.0020614861217428705,368.475,372.915,20,[20],0.678,0.4,0.867,0.493,PASS,specs/f16_p1_large_inner_rev/profile/PROF_000001_20260831163823746_NBBAAECKOOJQHKMA/mindstudio_profiler_output/op_summary_20260831163842.csv
f32_p1_large_inner,Greater,1050,150,900,233.809,235.06905,233.81962666666666,0.7538054792996809,0.0032238759852880367,231.529,236.209,20,[20],0.983,0.405,0.717,0.549,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260831163849625_IDAAGHOIEQHKOAAA/mindstudio_profiler_output/op_summary_20260831163906.csv
f32_p1_large_inner_rev,Greater,1050,150,900,236.63,237.95094999999998,236.6498533333333,0.7741705472740915,0.0032713755633882987,234.609,239.349,20,[20],0.98,0.401,0.704,0.533,PASS,specs/f32_p1_large_inner_rev/profile/PROF_000001_20260831163913794_LRNKQCKNNJLDGAPB/mindstudio_profiler_output/op_summary_20260831163930.csv
bf16_p1_large_inner,Greater,1050,150,900,93.504,94.483,93.50841999999999,0.5815214329096853,0.00621892053046865,91.763,95.584,20,[20],0.801,0.771,0.871,0.611,PASS,specs/bf16_p1_large_inner/profile/PROF_000001_20260831163937795_JHHCMDAGPCAIOPMC/mindstudio_profiler_output/op_summary_20260831163953.csv
i32_p1_large_inner,Greater,1050,150,900,151.74650000000003,152.927,151.79485,0.624513619413807,0.004114195042939909,150.366,154.406,20,[20],0.83,0.785,0.785,0.571,PASS,specs/i32_p1_large_inner/profile/PROF_000001_20260831164000883_IBDJQMPFBNIGDNRA/mindstudio_profiler_output/op_summary_20260831164016.csv
i8_p1_large_inner_3d,Greater,1050,150,900,158.146,158.78605,158.16352222222224,0.3522869798514264,0.0022273592222893067,157.206,159.326,20,[20],0.921,0.364,0.532,0.565,PASS,specs/i8_p1_large_inner_3d/profile/PROF_000001_20260831164023958_BOPHCDJPKCONGNGC/mindstudio_profiler_output/op_summary_20260831164040.csv
f16_p2_large_inner,Greater,1050,150,900,454.3685,456.25804999999997,454.3844755555555,1.0814616695638377,0.002380058579777804,451.238,458.378,20,[20],0.662,0.393,0.555,0.451,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260831164047899_GGEBEPPLBPKQCICB/mindstudio_profiler_output/op_summary_20260831164105.csv
f32_p2_large_inner,Greater,1050,150,900,280.2915,282.21299999999997,280.40460777777776,1.0163285407919995,0.00362450727484994,277.871,284.171,20,[20],0.722,0.438,0.456,0.421,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260831164112921_OCQGLNFQHEOCPDRA/mindstudio_profiler_output/op_summary_20260831164129.csv
f16_p1_n10000,Greater,1050,150,900,4.8,5.2,4.81074,0.24436001027627705,0.050794682372416106,4.32,5.78,20,[20],0.38,0.155,0.79,0.137,PASS,specs/f16_p1_n10000/profile/PROF_000001_20260831164136929_HAHBNHGCMMHABLFB/mindstudio_profiler_output/op_summary_20260831164152.csv
