spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p1_large_inner,Greater,1050,150,900,234.729,236.61095000000003,234.6408133333333,1.3241993273253418,0.005643516609551509,231.469,237.93,40,[40],0.949,0.316,0.426,0.685,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260831162912473_PMINEOPPIDKQMKKB/mindstudio_profiler_output/op_summary_20260831162931.csv
f16_p1_large_inner_rev,Greater,1050,150,900,233.449,235.11200000000002,233.37134777777777,1.1525495179266005,0.004938693326757867,229.669,236.409,40,[40],0.949,0.317,0.415,0.684,PASS,specs/f16_p1_large_inner_rev/profile/PROF_000001_20260831162938285_FCOEIHGGRGJJQFHC/mindstudio_profiler_output/op_summary_20260831162955.csv
f32_p1_large_inner,Greater,1050,150,900,203.888,204.869,203.92053333333334,0.5899577611999017,0.0028930767861201244,201.788,205.908,40,[40],0.979,0.233,0.252,0.67,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260831163002601_MEQCNFRADGPQJGPA/mindstudio_profiler_output/op_summary_20260831163019.csv
f32_p1_large_inner_rev,Greater,1050,150,900,201.048,202.14995,201.0484088888889,0.6663061187779893,0.0033141576322856105,199.428,203.108,40,[40],0.978,0.235,0.249,0.656,PASS,specs/f32_p1_large_inner_rev/profile/PROF_000001_20260831163026677_MJEERABPAPGDOPFA/mindstudio_profiler_output/op_summary_20260831163043.csv
bf16_p1_large_inner,Greater,1050,150,900,63.262,64.28395,63.270958888888885,0.5958055680979687,0.009416730496281433,61.702,65.263,40,[40],0.876,0.584,0.523,0.553,PASS,specs/bf16_p1_large_inner/profile/PROF_000001_20260831163050469_FJLCDCQIIQMFNHMC/mindstudio_profiler_output/op_summary_20260831163105.csv
i32_p1_large_inner,Greater,1050,150,900,112.045,113.627,112.11421444444446,0.8631952860108528,0.007699249290450934,109.705,115.005,39,[39],0.915,0.557,0.427,0.547,PASS,specs/i32_p1_large_inner/profile/PROF_000001_20260831163112598_GRELHAFLNKCDPMQA/mindstudio_profiler_output/op_summary_20260831163128.csv
i8_p1_large_inner_3d,Greater,1050,150,900,49.111999999999995,50.902,49.10269,1.250776071311994,0.025472658856612415,46.421,51.662,40,[40],0.871,0.635,0.618,0.647,PASS,specs/i8_p1_large_inner_3d/profile/PROF_000001_20260831163135665_BQHCHRGJNFBHENJB/mindstudio_profiler_output/op_summary_20260831163151.csv
f16_p2_large_inner,Greater,1050,150,900,451.518,453.61899999999997,451.5845766666667,1.1621190299094923,0.002573424979408233,448.638,457.278,20,[20],0.666,0.404,0.552,0.451,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260831163158655_CLRJLRHCJMCBIBPA/mindstudio_profiler_output/op_summary_20260831163217.csv
f32_p2_large_inner,Greater,1050,150,900,280.7215,283.25295000000006,280.92063333333334,1.5340251225669888,0.005460706479138374,277.351,297.471,20,[20],0.717,0.446,0.46,0.421,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260831163224743_HOOCBLPKCFOEIPHC/mindstudio_profiler_output/op_summary_20260831163240.csv
f16_p1_n10000,Greater,1050,150,900,4.9105,5.32005,4.916997777777778,0.24723067500156287,0.05028081894177671,4.38,5.64,22,[22],0.372,0.143,0.675,0.136,PASS,specs/f16_p1_n10000/profile/PROF_000001_20260831163247802_FNHDINQBMKOLHJLA/mindstudio_profiler_output/op_summary_20260831163302.csv
f16_p1_large_inner_partial,Greater,1050,150,900,24.06,24.581,24.080144444444446,0.2739019638528886,0.011374598042167509,23.46,25.141,20,[20],0.7324999999999999,0.415,0.97,0.425,PASS,specs/f16_p1_large_inner_partial/profile/PROF_000001_20260831163309910_ANHQDBNJEIRRKNKA/mindstudio_profiler_output/op_summary_20260831163325.csv
f16_p1_tile_minus_1,Greater,1050,150,900,123.485,124.92699999999999,123.53363444444443,0.8048319125632676,0.006515083249859509,120.865,126.465,40,[40],0.617,0.3425,0.304,0.295,PASS,specs/f16_p1_tile_minus_1/profile/PROF_000001_20260831163332922_FCOINJMKLFPRGLIA/mindstudio_profiler_output/op_summary_20260831163349.csv
f16_p1_tile_exact,Greater,1050,150,900,102.614,103.90499999999999,102.58859111111111,0.8645661477995696,0.008427507761201047,99.864,104.844,40,[40],0.956,0.285,0.267,0.538,PASS,specs/f16_p1_tile_exact/profile/PROF_000001_20260831163356828_RMCEANDOJNAJEHDB/mindstudio_profiler_output/op_summary_20260831163412.csv
f16_p1_tile_plus_1,Greater,1050,150,900,113.5645,115.32595,113.68802333333333,0.9384103062034692,0.008254258264760658,110.945,117.044,40,[40],0.956,0.314,0.455,0.664,PASS,specs/f16_p1_tile_plus_1/profile/PROF_000001_20260831163419861_DCQFPEQFBJBDFOKA/mindstudio_profiler_output/op_summary_20260831163436.csv
f32_p1_tile_minus_1,Greater,1050,150,900,125.585,126.88505,125.60707222222223,0.7420816998339166,0.005907961125955044,123.405,128.705,40,[40],0.655,0.305,0.299,0.29,PASS,specs/f32_p1_tile_minus_1/profile/PROF_000001_20260831163444009_CLQPHGICEMEBOFIA/mindstudio_profiler_output/op_summary_20260831163500.csv
f32_p1_tile_exact,Greater,1050,150,900,105.904,106.70595,105.89714111111111,0.5003240584071365,0.004724622904429293,104.165,107.385,40,[40],0.965,0.228,0.256,0.539,PASS,specs/f32_p1_tile_exact/profile/PROF_000001_20260831163508025_AQACAHLKFADPDHJA/mindstudio_profiler_output/op_summary_20260831163524.csv
f32_p1_tile_plus_1,Greater,1050,150,900,117.1745,118.425,117.19179777777778,0.7652446327776898,0.006529848054970256,114.345,120.285,40,[40],0.964,0.257,0.443,0.635,PASS,specs/f32_p1_tile_plus_1/profile/PROF_000001_20260831163532181_FIPOGAHONJHPJKMA/mindstudio_profiler_output/op_summary_20260831163548.csv
f16_p1_tiny_inner_big,Greater,1050,150,900,1405.0265,1415.9219999999998,1405.008361111111,6.4897765390085205,0.004619030547175011,1389.076,1430.258,40,[40],0.778,0.201,0.17,0.757,PASS,specs/f16_p1_tiny_inner_big/profile/PROF_000001_20260831163556182_JAEJRIHQLHIONLDB/mindstudio_profiler_output/op_summary_20260831163614.csv
f16_same_med,Greater,1050,150,900,33.621,34.282,33.54722777777778,0.48757572438152924,0.0145340094153624,31.961,34.921,20,[20],0.918,0.305,0.475,0.352,PASS,specs/f16_same_med/profile/PROF_000001_20260831163622269_JEIKKPEEHJILBKCA/mindstudio_profiler_output/op_summary_20260831163638.csv
scalar,Greater,1050,150,900,2.121,2.3000499999999997,2.1306966666666667,0.09661027199814498,0.04534210500703759,1.9,2.56,1,[1],0.218,0.115,0.961,0.074,PASS,specs/scalar/profile/PROF_000001_20260831163646229_FHLRNGRCFMNDFREC/mindstudio_profiler_output/op_summary_20260831163700.csv
