spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f16_p1_large_inner,target,361.8145,234.8945,-126.92,-0.35048002240259063,2,2,20,40,yes,no,
f16_p1_large_inner_rev,target,362.32425,232.9495,-129.37475,-0.35678507803848386,2,2,20,40,yes,no,
f32_p1_large_inner,target,233.5895,203.148,-30.441500000000005,-0.13032270707897636,2,2,20,40,yes,no,
f32_p1_large_inner_rev,target,235.96949999999998,201.86325,-34.10625,-0.14452031483375832,2,2,20,40,yes,no,
bf16_p1_large_inner,control,94.73400000000001,63.982,-30.752000000000002,-0.3245990050106059,2,2,20,40,yes,no,
i32_p1_large_inner,control,151.35625000000002,112.8945,-38.461750000000016,-0.2540946221662775,2,2,20,39,yes,no,
i8_p1_large_inner_3d,control,168.35649999999998,48.967,-119.3895,-0.7080207694572398,2,2,20,40,yes,no,
f16_p2_large_inner,control,454.5235,451.698,-2.8255000000000052,-0.0062164197318653885,2,2,20,20,yes,no,
f32_p2_large_inner,control,280.0265,280.58625,0.5597500000000082,0.001999358235327459,0,2,20,20,yes,no,
f16_p1_n10000,control,4.83,4.88575,0.055749999999999744,0.01161329732510283,0,2,20,22,yes,no,
f16_p1_large_inner_partial,control,24.451,24.060499999999998,-0.3905000000000012,-0.01595089262958982,2,2,20,20,yes,no,
f16_p1_tile_minus_1,control,123.515,123.925,0.4099999999999966,0.003317396756524779,0,2,40,40,yes,no,
f16_p1_tile_exact,control,101.594,101.82900000000001,0.23499999999999943,0.0023460387404188312,1,2,40,40,yes,no,
f16_p1_tile_plus_1,control,184.18725,114.59424999999999,-69.59300000000002,-0.37762516798252754,2,2,20,40,yes,no,
f32_p1_tile_minus_1,control,125.385,123.91499999999999,-1.470000000000006,-0.011668186610553136,1,2,40,40,yes,no,
f32_p1_tile_exact,control,107.134,106.78399999999999,-0.3500000000000014,-0.0032755920017232703,2,2,40,40,yes,no,
f32_p1_tile_plus_1,control,186.63275,117.60974999999999,-69.023,-0.3698340020633135,2,2,20,40,yes,no,
f16_p1_tiny_inner_big,control,1402.051,1402.30625,0.2552499999999327,0.00018171291452295983,1,2,40,40,yes,no,
f16_same_med,control,32.881,33.841,0.9600000000000009,0.029449619086368523,0,2,20,20,yes,no,
scalar,control,2.0700000000000003,2.1505,0.08050000000000002,0.038844286781179994,0,2,1,1,yes,no,
