spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p1_large_inner,Greater,1050,150,900,369.815,370.89599999999996,369.82863,0.5979126597217654,0.0016167289690951334,368.494,371.974,20,[20],0.673,0.4,0.855,0.483,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260831160708699_LRLMMKBKMBDORQQA/mindstudio_profiler_output/op_summary_20260831160726.csv
f16_p1_large_inner_rev,Greater,1050,150,900,354.314,355.87500000000006,354.3658411111111,0.7909796501658839,0.002232099029877637,352.674,358.095,20,[20],0.668,0.418,0.904,0.503,PASS,specs/f16_p1_large_inner_rev/profile/PROF_000001_20260831160733720_PQCGQHHJRABHMQNA/mindstudio_profiler_output/op_summary_20260831160752.csv
f32_p1_large_inner,Greater,1050,150,900,233.37,234.64905,233.38164,0.765140497889839,0.003278494820285944,231.229,236.309,20,[20],0.982,0.406,0.718,0.548,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260831160759757_BJMEBGRRAKFIBCNA/mindstudio_profiler_output/op_summary_20260831160816.csv
f32_p1_large_inner_rev,Greater,1050,150,900,235.309,236.86905000000002,235.32771777777776,0.8924653284990067,0.0037924360841410545,233.15,238.23,20,[20],0.98,0.403,0.708,0.533,PASS,specs/f32_p1_large_inner_rev/profile/PROF_000001_20260831160823965_AINEAIMRMDKGEICB/mindstudio_profiler_output/op_summary_20260831160841.csv
bf16_p1_large_inner,Greater,1050,150,900,95.964,96.76305,96.02806444444445,0.6405598907398833,0.006670548807223635,95.024,107.645,20,[20],0.784,0.748,0.849,0.594,PASS,specs/bf16_p1_large_inner/profile/PROF_000001_20260831160849005_CQHNCBOKAEPBQQEB/mindstudio_profiler_output/op_summary_20260831160905.csv
i32_p1_large_inner,Greater,1050,150,900,150.966,152.10699999999997,151.02497222222223,0.6326609802216833,0.004189115024572021,149.286,153.266,20,[20],0.827,0.788,0.789,0.572,PASS,specs/i32_p1_large_inner/profile/PROF_000001_20260831160912829_POABJPFMRRROIMQB/mindstudio_profiler_output/op_summary_20260831160927.csv
i8_p1_large_inner_3d,Greater,1050,150,900,178.567,179.327,178.60982777777778,0.40439250502115376,0.0022641111637165317,177.747,180.947,20,[20],0.924,0.322,0.47,0.549,PASS,specs/i8_p1_large_inner_3d/profile/PROF_000001_20260831160934888_JKFCCPLJCPKQEBGA/mindstudio_profiler_output/op_summary_20260831160950.csv
f16_p2_large_inner,Greater,1050,150,900,454.6785,457.158,454.78182333333336,1.4008376561146867,0.003080241083179658,451.418,460.258,20,[20],0.662,0.393,0.554,0.451,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260831160957937_BNJMPKRKQOCOJPFA/mindstudio_profiler_output/op_summary_20260831161015.csv
f32_p2_large_inner,Greater,1050,150,900,279.7615,281.39295,279.7980211111111,0.9358393099238591,0.00334469595677457,277.051,283.772,20,[20],0.721,0.439,0.456,0.421,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260831161023064_DPOHNEHKDEKAIACC/mindstudio_profiler_output/op_summary_20260831161040.csv
f16_p1_n10000,Greater,1050,150,900,4.86,5.26,4.860725555555556,0.23982655587417576,0.04933966197702039,4.34,5.64,20,[20],0.379,0.155,0.812,0.134,PASS,specs/f16_p1_n10000/profile/PROF_000001_20260831161048076_NCJOGFQACQMKFGIC/mindstudio_profiler_output/op_summary_20260831161102.csv
f16_p1_large_inner_partial,Greater,1050,150,900,24.561,24.981,24.580294444444444,0.23165497565757914,0.009424418254271035,24.041,25.581,20,[20],0.751,0.407,0.973,0.451,PASS,specs/f16_p1_large_inner_partial/profile/PROF_000001_20260831161110191_CQEHGEIPNADCMBBB/mindstudio_profiler_output/op_summary_20260831161125.csv
f16_p1_tile_minus_1,Greater,1050,150,900,123.865,125.54505,123.94445222222222,0.8888560181776445,0.00717140624078921,121.465,127.125,40,[40],0.617,0.342,0.301,0.294,PASS,specs/f16_p1_tile_minus_1/profile/PROF_000001_20260831161133125_FCQRRPBDPIKHBEMA/mindstudio_profiler_output/op_summary_20260831161148.csv
f16_p1_tile_exact,Greater,1050,150,900,101.904,103.084,101.92025555555556,0.6675785190790686,0.006550008292661504,99.944,104.084,40,[40],0.957,0.287,0.268,0.501,PASS,specs/f16_p1_tile_exact/profile/PROF_000001_20260831161156253_IORNIHMANLENFMKA/mindstudio_profiler_output/op_summary_20260831161213.csv
f16_p1_tile_plus_1,Greater,1050,150,900,181.507,182.76705,181.59570777777776,0.6700889776287221,0.0036900044931057687,180.167,184.547,20,[20],0.912,0.39,0.893,0.433,PASS,specs/f16_p1_tile_plus_1/profile/PROF_000001_20260831161221310_FMBBQENMKIDHCACA/mindstudio_profiler_output/op_summary_20260831161236.csv
f32_p1_tile_minus_1,Greater,1050,150,900,125.805,127.345,125.87849555555555,0.8367068788359266,0.006646940568706211,123.845,129.805,40,[40],0.654,0.305,0.306,0.29,PASS,specs/f32_p1_tile_minus_1/profile/PROF_000001_20260831161244155_KRNEAGBIDOANFJEA/mindstudio_profiler_output/op_summary_20260831161259.csv
f32_p1_tile_exact,Greater,1050,150,900,107.884,108.74595,107.87677333333333,0.5295539776914993,0.004908878541029462,105.924,109.804,40,[40],0.966,0.223,0.251,0.509,PASS,specs/f32_p1_tile_exact/profile/PROF_000001_20260831161307299_HGCOGHBBAKNDERCC/mindstudio_profiler_output/op_summary_20260831161322.csv
f32_p1_tile_plus_1,Greater,1050,150,900,186.6975,187.528,186.75760555555556,0.44813003441736976,0.0023995276287908,185.808,188.688,20,[20],0.722,0.315,0.861,0.397,PASS,specs/f32_p1_tile_plus_1/profile/PROF_000001_20260831161330423_AENMAOPMLCAKOBRB/mindstudio_profiler_output/op_summary_20260831161346.csv
f16_p1_tiny_inner_big,Greater,1050,150,900,1399.606,1410.781,1399.920328888889,6.697647226920552,0.004784305998496677,1378.095,1427.997,40,[40],0.778,0.201,0.17,0.756,PASS,specs/f16_p1_tiny_inner_big/profile/PROF_000001_20260831161353270_AQGFPMQJRRIGRAAA/mindstudio_profiler_output/op_summary_20260831161412.csv
f16_same_med,Greater,1050,150,900,32.461,33.121,32.49384666666666,0.36043197669216626,0.011092314812389084,31.381,33.741,20,[20],0.916,0.317,0.48,0.301,PASS,specs/f16_same_med/profile/PROF_000001_20260831161419377_LEBDCLIMGGEOJMBC/mindstudio_profiler_output/op_summary_20260831161434.csv
scalar,Greater,1050,150,900,2.08,2.221949999999999,2.086607777777778,0.08713240592184059,0.041757922523722193,1.9,2.52,1,[1],0.211,0.118,0.965,0.071,PASS,specs/scalar/profile/PROF_000001_20260831161441590_FCIKJHPIRFPLNPQB/mindstudio_profiler_output/op_summary_20260831161457.csv
