spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p1_large_inner,Greater,1050,150,900,235.06,237.75095,235.10911444444446,1.7173561823053682,0.007304507042882738,231.609,239.029,40,[40],0.949,0.3155,0.425,0.68,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260831161555352_FNRDBGPJPGAERCMA/mindstudio_profiler_output/op_summary_20260831161614.csv
f16_p1_large_inner_rev,Greater,1050,150,900,232.45,234.46905,232.43571888888889,1.1771335607591147,0.0050643402244119765,229.269,236.01,40,[40],0.948,0.319,0.418,0.68,PASS,specs/f16_p1_large_inner_rev/profile/PROF_000001_20260831161622473_DNFOGJEJQOKMCBPA/mindstudio_profiler_output/op_summary_20260831161639.csv
f32_p1_large_inner,Greater,1050,150,900,202.408,203.608,202.41124555555558,0.7327873730809731,0.003620289826633401,200.428,205.128,40,[40],0.978,0.235,0.255,0.667,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260831161647298_ECDBLEQDMNDGLADC/mindstudio_profiler_output/op_summary_20260831161703.csv
f32_p1_large_inner_rev,Greater,1050,150,900,202.67849999999999,203.90800000000002,202.6928111111111,0.7389382607565237,0.003645606653269298,200.808,205.388,40,[40],0.978,0.234,0.247,0.663,PASS,specs/f32_p1_large_inner_rev/profile/PROF_000001_20260831161710307_DOIMRARINCQABFRA/mindstudio_profiler_output/op_summary_20260831161726.csv
bf16_p1_large_inner,Greater,1050,150,900,64.702,66.123,64.70511777777777,0.8709245390934061,0.013459901921274534,62.143,67.403,40,[40],0.885,0.574,0.515,0.593,PASS,specs/bf16_p1_large_inner/profile/PROF_000001_20260831161733461_DBQAPHPLEILEOGLA/mindstudio_profiler_output/op_summary_20260831161748.csv
i32_p1_large_inner,Greater,1050,150,900,113.744,115.78594999999999,113.81230333333333,1.0970482224739864,0.009639100434167937,110.845,117.085,39,[39],0.917,0.549,0.42,0.548,PASS,specs/i32_p1_large_inner/profile/PROF_000001_20260831161755610_CNQNAJOGLNCRFLDB/mindstudio_profiler_output/op_summary_20260831161812.csv
i8_p1_large_inner_3d,Greater,1050,150,900,48.822,49.903,48.85179333333333,0.602675449382907,0.012336813211147355,47.262,50.622,40,[40],0.868,0.639,0.622,0.632,PASS,specs/i8_p1_large_inner_3d/profile/PROF_000001_20260831161819609_OOCKMFANCFRGJFHA/mindstudio_profiler_output/op_summary_20260831161835.csv
f16_p2_large_inner,Greater,1050,150,900,451.878,454.079,451.94462444444446,1.1787355980325425,0.0026081416489498245,448.757,456.098,20,[20],0.666,0.403,0.551,0.451,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260831161842545_APDOJQJAGGQHPMFC/mindstudio_profiler_output/op_summary_20260831161901.csv
f32_p2_large_inner,Greater,1050,150,900,280.451,282.491,280.5313233333333,1.1070912121962773,0.00394640854732934,277.711,284.612,20,[20],0.717,0.445,0.459,0.421,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260831161908583_FIILOHBPKOJQNKMB/mindstudio_profiler_output/op_summary_20260831161926.csv
f16_p1_n10000,Greater,1050,150,900,4.861,5.26,4.8728855555555555,0.2324455090558794,0.04770181987772508,4.34,5.62,22,[22],0.364,0.147,0.717,0.125,PASS,specs/f16_p1_n10000/profile/PROF_000001_20260831161933617_KRFLMBMRBIQEGRHB/mindstudio_profiler_output/op_summary_20260831161948.csv
f16_p1_large_inner_partial,Greater,1050,150,900,24.061,24.581,24.07998111111111,0.2824807814089874,0.011730938662515964,23.461,25.361,20,[20],0.747,0.414,0.971,0.452,PASS,specs/f16_p1_large_inner_partial/profile/PROF_000001_20260831161955776_NMDDJOMLMGBCPRGB/mindstudio_profiler_output/op_summary_20260831162012.csv
f16_p1_tile_minus_1,Greater,1050,150,900,124.365,126.14599999999999,124.46355333333334,0.9438141674668329,0.0075830565831520765,122.304,128.025,40,[40],0.621,0.34,0.3,0.292,PASS,specs/f16_p1_tile_minus_1/profile/PROF_000001_20260831162019749_ILBQAOBADMELCIGA/mindstudio_profiler_output/op_summary_20260831162035.csv
