spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f16_p1_large_inner,target,369.815,235.06,-134.755,-0.36438489515027783,1,1,20,40,yes,no,
f16_p1_large_inner_rev,target,354.314,232.45,-121.86400000000003,-0.34394350773607596,1,1,20,40,yes,no,
f32_p1_large_inner,target,233.37,202.408,-30.962000000000018,-0.13267343703132373,1,1,20,40,yes,no,
f32_p1_large_inner_rev,target,235.309,202.67849999999999,-32.63050000000001,-0.13867085406848023,1,1,20,40,yes,no,
bf16_p1_large_inner,control,95.964,64.702,-31.262,-0.32576799633195785,1,1,20,40,yes,no,
i32_p1_large_inner,control,150.966,113.744,-37.22200000000001,-0.24655882781553468,1,1,20,39,yes,no,
i8_p1_large_inner_3d,control,178.567,48.822,-129.745,-0.7265900194324819,1,1,20,40,yes,no,
f16_p2_large_inner,control,454.6785,451.878,-2.8004999999999995,-0.006159297173717252,1,1,20,20,yes,no,
f32_p2_large_inner,control,279.7615,280.451,0.6895000000000095,0.0024645993104841428,0,1,20,20,yes,no,
f16_p1_n10000,control,4.86,4.861,0.0009999999999994458,0.00020576131687231392,0,1,20,22,yes,no,
f16_p1_large_inner_partial,control,24.561,24.061,-0.5,-0.02035747730141281,1,1,20,20,yes,no,
f16_p1_tile_minus_1,control,123.865,124.365,0.5,0.004036652807492028,0,1,40,40,yes,no,
f16_p1_tile_exact,control,101.904,101.044,-0.8599999999999994,-0.008439315434134082,1,1,40,40,yes,no,
f16_p1_tile_plus_1,control,181.507,115.624,-65.88300000000001,-0.3629777363958415,1,1,20,40,yes,no,
f32_p1_tile_minus_1,control,125.805,122.245,-3.5600000000000023,-0.028297762410079107,1,1,40,40,yes,no,
f32_p1_tile_exact,control,107.884,107.664,-0.21999999999999886,-0.0020392273182306816,1,1,40,40,yes,no,
f32_p1_tile_plus_1,control,186.6975,118.045,-68.65249999999999,-0.3677205104513986,1,1,20,40,yes,no,
f16_p1_tiny_inner_big,control,1399.606,1399.586,-0.01999999999998181,-1.4289735825640795e-05,1,1,40,40,yes,no,
f16_same_med,control,32.461,34.061,1.6000000000000014,0.04928991713132687,0,1,20,20,yes,no,
scalar,control,2.08,2.18,0.10000000000000009,0.04807692307692312,0,1,1,1,yes,no,
