case_index,case_name,block_dim,parent_median_us,candidate_median_us,paired_delta_median_us,improvement_percent,candidate_faster_rounds,material_regression_limit_us,material_regression
0,1d_fp16_n1,1,5.7245,5.50825,-0.19099999999999984,3.3365359420036658,3,2.0,False
1,1d_fp16_n4,1,3.878,3.80775,-0.07550000000000034,1.9468798349664866,4,2.0,False
2,1d_fp16_n31,1,3.89325,3.7880000000000003,-0.11524999999999985,2.960251717716557,6,2.0,False
3,1d_fp16_n32,1,3.85825,3.77775,-0.1060000000000001,2.747359554202037,5,2.0,False
4,1d_fp16_n33,1,3.793,3.803,0.009500000000000064,-0.2504613762193531,3,2.0,False
5,1d_fp16_n997,1,4.0592500000000005,4.01975,-0.03949999999999987,0.9730861612366782,4,2.0,False
6,1d_fp16_n10000,1,4.563,4.497,-0.05550000000000033,1.2163050624589158,5,2.0,False
7,1d_fp32_n1,1,5.6995000000000005,5.407500000000001,-0.33225000000000016,5.829458724449515,5,2.0,False
8,1d_fp32_n4,1,3.87375,3.86375,-0.004999999999999671,0.12907389480476725,3,2.0,False
9,1d_fp32_n31,1,3.8484999999999996,3.8587499999999997,-0.0004999999999999449,0.012992074834349616,3,2.0,False
10,1d_fp32_n32,1,3.8579999999999997,3.843,-0.025000000000000133,0.6480041472265458,4,2.0,False
11,1d_fp32_n33,1,3.9035,3.8735,-0.03500000000000014,0.8966312283847864,5,2.0,False
12,1d_fp32_n997,1,4.0440000000000005,4.05925,0.02574999999999994,-0.6367457962413436,2,2.0,False
13,1d_fp32_n10000,1,4.537,4.502,-0.03025000000000011,0.6667401366541792,4,2.0,False
14,2d_fp16_axis0,3,5.1265,5.0,-0.11125000000000007,2.170096557105239,4,2.0,False
15,2d_fp16_axis_neg2_keep,3,5.08075,4.93,-0.15075000000000038,2.9670816316488784,5,2.0,False
16,2d_fp16_axis1,31,6.83625,6.840999999999999,0.009999999999999787,-0.1462790272444657,2,2.0,False
17,2d_fp16_large_2024x3000,40,42.048249999999996,42.11825,-0.235750000000003,0.5606654260284388,3,2.1024125,False
18,6d_fp16_score_rule_shape,36,7.465,7.470000000000001,-0.030250000000000554,0.40522438044207043,3,2.0,False
19,2d_fp32_axis0,5,5.196,5.07075,-0.1200000000000001,2.3094688221709028,5,2.0,False
20,2d_fp32_axis_neg2_keep,5,5.17625,5.09075,-0.0804999999999998,1.5551799082347222,4,2.0,False
21,2d_fp32_axis1,31,6.665,6.7052499999999995,-0.010500000000000398,0.15753938484621755,3,2.0,False
22,2d_fp32_large_2024x3000,40,43.436749999999996,43.4865,0.11550000000000438,-0.2659038717215362,3,2.1718374999999996,False
23,6d_fp32_score_rule_shape,36,7.409750000000001,7.44475,0.009999999999999787,-0.13495731974762692,3,2.0,False
24,ara_fp16_a0_997,36,7.5605,7.5305,-0.16124999999999945,2.132795450036366,4,2.0,False
25,ara_fp16_keep,6,4.7485,4.683249999999999,-0.07100000000000017,1.4952090133726477,4,2.0,False
26,ara_fp16_r4095,1,10.86525,10.725,-0.12049999999999983,1.1090402889947293,5,2.0,False
27,ara_fp16_r4096,1,10.588999999999999,10.513749999999998,-0.09999999999999964,0.9443762394938111,6,2.0,False
28,ara_fp32_a0_997,40,7.96275,7.90275,-0.03049999999999997,0.38303349973313205,3,2.0,False
29,ara_fp32_keep,10,4.91425,4.83425,-0.09074999999999989,1.8466703973139316,5,2.0,False
30,ara_fp32_r4095,1,29.77925,29.739,-0.020250000000000767,0.06800036938472516,3,2.0,False
31,ara_fp32_r4096,1,30.524,30.478500000000004,-0.0607500000000023,0.19902371904076235,3,2.0,False
32,ara_fp16_r10000,28,120.787,114.0265,-6.7605,5.597042728108157,5,6.039350000000001,False
33,ara_fp32_r5000,13,37.476,36.95725,-0.2017500000000041,0.5383445405059347,3,2.0,False
34,multi_contiguous_fp16,2,4.4822500000000005,4.3965,-0.08574999999999955,1.91310167884432,5,2.0,False
35,multi_noncontiguous_fp16,1,66.91775,64.79975,-1.5595000000000034,2.330472856603821,5,3.3458875,False
36,multi_negative_fp16,1,70.32825,70.092,0.5127499999999969,-0.7290811302712593,2,3.5164125,False
37,multi_contiguous_fp32,2,4.8187500000000005,4.653,-0.19100000000000072,3.9636835278858773,4,2.0,False
38,multi_noncontiguous_fp32,1,65.66,65.052,-0.42249999999999943,0.643466341760584,4,3.2829999999999995,False
39,multi_negative_fp32,1,67.06875,67.34075,0.3372500000000045,-0.5028422327835311,2,3.3534375,False
40,special_fp16_nan_inf,2,4.734,4.652749999999999,-0.05074999999999985,1.072032108153778,4,2.0,False
41,special_fp32_nan_inf,2,4.4719999999999995,4.416499999999999,-0.07050000000000045,1.576475849731674,5,2.0,False
