case_index,case_name,block_dim,task_count,warmup_count,hot_count,p50_us,p95_us,mean_us,cv,min_us,max_us,input_shapes,input_dtypes,output_shapes,op_name
0,1d_fp16_n1,1,30,10,20,5.714,6.177,5.7426,0.03877136964443338,5.353,6.258,"""1""",FLOAT16,"""1""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
1,1d_fp16_n4,1,30,10,20,3.793,3.984,3.8241,0.02294259322670296,3.702,4.025,"""4""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
2,1d_fp16_n31,1,30,10,20,3.8129999999999997,3.963,3.8261000000000003,0.031622937306914005,3.602,4.206,"""31""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
3,1d_fp16_n32,1,30,10,20,3.783,3.964,3.79285,0.029125743770511858,3.642,4.044,"""32""",FLOAT16,"""1""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
4,1d_fp16_n33,1,30,10,20,3.803,4.004,3.82395,0.027163856228087164,3.662,4.044,"""33""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
5,1d_fp16_n997,1,30,10,20,4.0045,4.165,4.0444,0.024420204430505507,3.924,4.346,"""997""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
6,1d_fp16_n10000,1,30,10,20,4.557,4.648,4.51815,0.022843552739187135,4.346,4.709,"""10000""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
7,1d_fp32_n1,1,30,10,20,5.2015,5.835,5.28675,0.059272045451359744,4.829,5.895,"""1""",FLOAT,"""1""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
8,1d_fp32_n4,1,30,10,20,4.164999999999999,4.426,4.176,0.04545653729182833,3.783,4.547,"""4""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
9,1d_fp32_n31,1,30,10,20,4.0649999999999995,4.507,4.0947000000000005,0.05718659026307645,3.803,4.728,"""31""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
10,1d_fp32_n32,1,30,10,20,3.843,4.085,3.84715,0.030325942886767723,3.662,4.085,"""32""",FLOAT,"""1""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
11,1d_fp32_n33,1,30,10,20,3.843,3.944,3.85715,0.03164064871041412,3.723,4.306,"""33""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
12,1d_fp32_n997,1,30,10,20,4.0344999999999995,4.286,4.0785,0.033978650295050754,3.903,4.386,"""997""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
13,1d_fp32_n10000,1,30,10,20,4.477,4.648,4.50415,0.02689842930994864,4.367,4.929,"""10000""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
14,2d_fp16_axis0,3,30,10,20,4.879,5.816,5.01015,0.07477697625012822,4.648,5.976,"""17,33""",FLOAT16,"""33""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
15,2d_fp16_axis_neg2_keep,3,30,10,20,4.829000000000001,5.11,4.8513,0.02846368583169582,4.668,5.232,"""17,33""",FLOAT16,"""1,33""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
16,2d_fp16_axis1,31,30,10,20,7.103,7.526,7.138,0.03967296555987709,6.499,7.526,"""31,33""",FLOAT16,"""31""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
17,2d_fp16_large_2024x3000,40,30,10,20,42.6065,43.401,42.5774,0.013079793933685389,41.228,43.462,"""2024,3000""",FLOAT16,"""2024""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
18,6d_fp16_score_rule_shape,36,30,10,20,7.777,8.29,7.7989999999999995,0.04460970019885887,7.083,8.29,"""2,3,4,5,6,7""",FLOAT16,"""2,4,5,6,7""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
19,2d_fp32_axis0,5,30,10,20,5.03,5.151,5.0453,0.01647637888165224,4.93,5.312,"""17,33""",FLOAT,"""33""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
20,2d_fp32_axis_neg2_keep,5,30,10,20,5.1005,5.292,5.1207,0.026488998221607617,4.93,5.493,"""17,33""",FLOAT,"""1,33""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
21,2d_fp32_axis1,31,30,10,20,6.981999999999999,7.465,7.10175,0.032133309864691234,6.801,7.485,"""31,33""",FLOAT,"""31""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
22,2d_fp32_large_2024x3000,40,30,10,20,43.200500000000005,44.226,43.19505,0.013762113219473402,42.214,44.487,"""2024,3000""",FLOAT,"""2024""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
23,6d_fp32_score_rule_shape,36,30,10,20,7.907,8.491,7.95685,0.03854016648660933,7.566,8.733,"""2,3,4,5,6,7""",FLOAT,"""2,4,5,6,7""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
24,ara_fp16_a0_997,36,30,10,20,7.938000000000001,8.33,7.959950000000001,0.031214490968321833,7.506,8.33,"""4,3,997""",FLOAT16,"""4,997""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
25,ara_fp16_keep,6,30,10,20,4.628,4.829,4.6459,0.03529258477557504,4.406,5.151,"""2,3,33""",FLOAT16,"""2,1,33""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
26,ara_fp16_r4095,1,30,10,20,10.815,10.986,10.80805,0.010616152998055546,10.604,10.986,"""1,4095,8""",FLOAT16,"""1,8""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
27,ara_fp16_r4096,1,30,10,20,10.5735,10.826,10.58065,0.01270822199624351,10.362,10.885,"""1,4096,8""",FLOAT16,"""1,8""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
28,ara_fp32_a0_997,40,30,10,20,8.451,8.894,8.4408,0.03370931466864788,8.008,8.914,"""4,3,997""",FLOAT,"""4,997""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
29,ara_fp32_keep,10,30,10,20,4.869,5.292,4.89445,0.03672742150874898,4.648,5.312,"""2,3,33""",FLOAT,"""2,1,33""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
30,ara_fp32_r4095,1,30,10,20,29.7295,29.88,29.70385,0.004801995337677416,29.417,29.88,"""1,4095,8""",FLOAT,"""1,8""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
31,ara_fp32_r4096,1,30,10,20,30.131,30.463,30.16755,0.006119479927930942,29.819,30.484,"""1,4096,8""",FLOAT,"""1,8""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
32,ara_fp16_r10000,28,30,10,20,124.4085,131.934,125.01545000000002,0.040565020620424594,114.167,134.047,"""4,10000,100""",FLOAT16,"""4,100""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
33,ara_fp32_r5000,13,30,10,20,36.6205,37.747,36.651650000000004,0.0157382455781487,35.172,37.807,"""1,5000,100""",FLOAT,"""1,100""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
34,multi_contiguous_fp16,2,30,10,20,4.5975,5.553,4.67905,0.13764794183767234,3.943,5.573,"""2,3,4,5""",FLOAT16,"""2,5""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
35,multi_noncontiguous_fp16,1,30,10,20,16.469,17.827,16.5848,0.04783190163175653,15.574,18.25,"""2,3,4,5,6""",FLOAT16,"""2,1,4,1,6""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
36,multi_negative_fp16,1,30,10,20,59.7595,62.918,58.7034,0.060321073793174584,52.576,63.362,"""2,3,4,5,6""",FLOAT16,"""2,3,5""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
37,multi_contiguous_fp32,2,30,10,20,4.5075,5.292,4.59875,0.12482296386469582,3.924,5.493,"""2,3,4,5""",FLOAT,"""2,5""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
38,multi_noncontiguous_fp32,1,30,10,20,15.9465,17.264,16.19965,0.038495018535917344,15.432,17.526,"""2,3,4,5,6""",FLOAT,"""2,1,4,1,6""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
39,multi_negative_fp32,1,30,10,20,56.1075,58.914,55.4962,0.04772669030395692,50.947,59.197,"""2,3,4,5,6""",FLOAT,"""2,3,5""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
40,special_fp16_nan_inf,2,30,10,20,4.487,5.432,4.5594,0.13968533996279175,3.843,5.453,"""2,3,5""",FLOAT16,"""2,5""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
41,special_fp32_nan_inf,2,30,10,20,4.1955,4.688,4.255599999999999,0.07179452662711915,3.803,4.789,"""2,3,5""",FLOAT,"""2,5""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
