case_index,case_name,block_dim,parent_median_us,candidate_median_us,paired_delta_median_us,improvement_percent,candidate_faster_rounds,material_regression_limit_us,material_regression
0,1d_fp16_n1,1,5.5432500000000005,5.6185,0.04524999999999979,-0.8163081224913145,3,2.0,False
1,1d_fp16_n4,1,3.833,3.86325,-0.0202500000000001,0.5283068092877667,4,2.0,False
2,1d_fp16_n31,1,3.848,3.838,-0.025000000000000133,0.6496881496881532,4,2.0,False
3,1d_fp16_n32,1,3.83825,3.823,-0.0605,1.576239171497427,4,2.0,False
4,1d_fp16_n33,1,3.798,3.8335,0.015249999999999986,-0.40152711953659787,2,2.0,False
5,1d_fp16_n997,1,4.0089999999999995,4.0245,-0.01949999999999963,0.4864055874282772,3,2.0,False
6,1d_fp16_n10000,1,4.56275,4.55725,-0.04049999999999976,0.8876225960221305,3,2.0,False
7,1d_fp32_n1,1,5.497999999999999,5.12125,-0.3972500000000001,7.225354674427067,4,2.0,False
8,1d_fp32_n4,1,3.8785,4.089499999999999,0.24124999999999996,-6.220188217094237,2,2.0,False
9,1d_fp32_n31,1,3.86325,4.0344999999999995,0.19074999999999998,-4.93755257878729,2,2.0,False
10,1d_fp32_n32,1,3.873,3.843,-0.015000000000000124,0.38729666924864764,3,2.0,False
11,1d_fp32_n33,1,3.9185,3.848,-0.04500000000000037,1.1483986219216633,4,2.0,False
12,1d_fp32_n997,1,4.023999999999999,4.03425,0.014750000000000263,-0.36655069582505634,2,2.0,False
13,1d_fp32_n10000,1,4.5272499999999996,4.522,0.0045000000000001705,-0.09939808934784186,3,2.0,False
14,2d_fp16_axis0,3,5.2415,5.176,-0.0862500000000006,1.6455213202327692,4,2.0,False
15,2d_fp16_axis_neg2_keep,3,5.035,4.9350000000000005,-0.08500000000000041,1.6881827209533347,4,2.0,False
16,2d_fp16_axis1,31,7.1625,7.088,-0.0804999999999998,1.123909249563697,5,2.0,False
17,2d_fp16_large_2024x3000,40,42.34525,42.45075,0.030000000000001137,-0.07084619880624424,3,2.1172625,False
18,6d_fp16_score_rule_shape,36,7.862,7.78675,0.04049999999999976,-0.5151360976850644,2,2.0,False
19,2d_fp32_axis0,5,5.035,4.984999999999999,-0.09050000000000047,1.79741807348561,5,2.0,False
20,2d_fp32_axis_neg2_keep,5,5.0105,5.00525,-0.06549999999999967,1.307254764993507,5,2.0,False
21,2d_fp32_axis1,31,7.0425,7.067500000000001,0.00024999999999941735,-0.0035498757543403242,2,2.0,False
22,2d_fp32_large_2024x3000,40,43.451499999999996,43.633,0.22675000000000267,-0.5218461963338497,2,2.172575,False
23,6d_fp32_score_rule_shape,36,7.95325,7.862,-0.10074999999999967,1.266777732373554,5,2.0,False
24,ara_fp16_a0_997,36,7.998,7.91775,-0.06500000000000039,0.8127031757939533,5,2.0,False
25,ara_fp16_keep,6,4.729,4.688,-0.0402499999999999,0.8511313174032543,5,2.0,False
26,ara_fp16_r4095,1,10.76475,10.81025,-0.024750000000000938,0.22991709050373615,3,2.0,False
27,ara_fp16_r4096,1,10.588999999999999,10.5785,-0.014749999999999375,0.13929549532533173,4,2.0,False
28,ara_fp32_a0_997,40,8.481000000000002,8.425749999999999,-0.09574999999999978,1.1289942223794336,4,2.0,False
29,ara_fp32_keep,10,4.9094999999999995,4.8895,-0.020000000000000018,0.40737345961910626,3,2.0,False
30,ara_fp32_r4095,1,33.27525,32.39475,-1.0557500000000015,3.172778566652396,3,2.0,False
31,ara_fp32_r4096,1,33.38075,32.89775,-1.2374999999999972,3.7072264703459243,5,2.0,False
32,ara_fp16_r10000,28,115.3545,119.47925,3.385249999999999,-2.934649276794576,3,5.767725,False
33,ara_fp32_r5000,13,36.9375,36.806749999999994,-0.6187500000000021,1.6751269035533052,4,2.0,False
34,multi_contiguous_fp16,2,4.457,4.6427499999999995,0.22625000000000028,-5.076284496297965,2,2.0,False
35,multi_noncontiguous_fp16,1,66.94775,16.3885,-50.13175,74.88190417153675,6,3.3473875,False
36,multi_negative_fp16,1,70.07675,57.27475,-13.652000000000008,19.481497072852278,6,3.5038375000000004,False
37,multi_contiguous_fp32,2,4.70325,4.5525,-0.1862499999999998,3.9600276404613792,5,2.0,False
38,multi_noncontiguous_fp32,1,65.97675,16.047,-49.62349999999999,75.21361691808099,6,3.2988374999999994,False
39,multi_negative_fp32,1,67.10425000000001,54.3015,-13.491250000000008,20.104911387877827,6,3.3552125,False
40,special_fp16_nan_inf,2,4.7135,4.5120000000000005,-0.08050000000000024,1.7078604009759253,3,2.0,False
41,special_fp32_nan_inf,2,4.4165,4.271,-0.14549999999999974,3.294463942035543,4,2.0,False
