case_index,case_name,block_dim,task_count,warmup_count,hot_count,p50_us,p95_us,mean_us,cv,min_us,max_us,input_shapes,input_dtypes,output_shapes,op_name
0,1d_fp16_n1,1,30,10,20,6.0665,6.54,6.02045,0.05139687211658782,5.433,6.58,"""1""",FLOAT16,"""1""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
1,1d_fp16_n4,1,30,10,20,3.843,4.004,3.85715,0.027491857051849738,3.662,4.045,"""4""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
2,1d_fp16_n31,1,30,10,20,3.904,4.085,3.8845,0.02844219570250492,3.703,4.105,"""31""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
3,1d_fp16_n32,1,30,10,20,3.8434999999999997,4.064,3.836,0.03521703880632506,3.581,4.085,"""32""",FLOAT16,"""1""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
4,1d_fp16_n33,1,30,10,20,3.903,4.024,3.8991999999999996,0.024692672885285625,3.742,4.044,"""33""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
5,1d_fp16_n997,1,30,10,20,4.085000000000001,4.246,4.0937,0.024188201518076755,3.944,4.265,"""997""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
6,1d_fp16_n10000,1,30,10,20,4.577,4.808,4.5774,0.028184850055565043,4.367,4.869,"""10000""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
7,1d_fp32_n1,1,30,10,20,5.755000000000001,6.278,5.7808,0.05297390437012148,5.091,6.358,"""1""",FLOAT,"""1""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
8,1d_fp32_n4,1,30,10,20,4.135,4.87,4.250500000000001,0.0708348335937014,3.964,4.889,"""4""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
9,1d_fp32_n31,1,30,10,20,4.064500000000001,4.266,4.06245,0.03179966478962773,3.803,4.286,"""31""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
10,1d_fp32_n32,1,30,10,20,3.9130000000000003,4.105,3.9195,0.025874030726458438,3.762,4.165,"""32""",FLOAT,"""1""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
11,1d_fp32_n33,1,30,10,20,3.9035,4.044,3.88945,0.026903200204765415,3.682,4.065,"""33""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
12,1d_fp32_n997,1,30,10,20,4.074,4.265,4.07455,0.02490250079502741,3.904,4.266,"""997""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
13,1d_fp32_n10000,1,30,10,20,4.568,4.788,4.58765,0.028238459062487408,4.347,4.91,"""10000""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
14,2d_fp16_axis0,3,30,10,20,5.101,6.338,5.26965,0.08542819021089218,4.849,6.419,"""17,33""",FLOAT16,"""33""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
