case_index,case_name,block_dim,parent_median_us,candidate_median_us,paired_delta_median_us,improvement_percent,candidate_faster_rounds,material_regression_limit_us,material_regression
0,1d_fp16_n1,1,5.433,6.0865,0.6637500000000003,-12.217007178354505,0,2.0,False
1,1d_fp16_n4,1,3.85825,3.8935,0.025249999999999995,-0.6544417806000128,2,2.0,False
2,1d_fp16_n31,1,3.8979999999999997,3.8834999999999997,-0.04525000000000001,1.1608517188301697,4,2.0,False
3,1d_fp16_n32,1,3.8685,3.8535,0.0004999999999997229,-0.012924906294422204,3,2.0,False
4,1d_fp16_n33,1,3.833,3.9234999999999998,0.1007499999999999,-2.628489433863811,1,2.0,False
5,1d_fp16_n997,1,3.9939999999999998,4.0845,0.0804999999999998,-2.015523284927386,0,2.0,False
6,1d_fp16_n10000,1,4.57225,4.57725,0.004750000000000032,-0.10388758269998428,3,2.0,False
7,1d_fp32_n1,1,5.488,5.37725,-0.0757500000000002,1.3802842565597704,4,2.0,False
8,1d_fp32_n4,1,3.9539999999999997,4.135,0.24124999999999996,-6.101416287303996,0,2.0,False
9,1d_fp32_n31,1,3.94325,4.0895,0.17625000000000024,-4.469663348760546,0,2.0,False
10,1d_fp32_n32,1,3.93875,3.9285,-0.010999999999999899,0.27927642018406595,3,2.0,False
11,1d_fp32_n33,1,3.979,3.90875,-0.07525000000000004,1.8911786881125923,4,2.0,False
12,1d_fp32_n997,1,4.0995,4.074,-0.009999999999999787,0.24393218685204993,3,2.0,False
13,1d_fp32_n10000,1,4.622999999999999,4.572749999999999,-0.09025000000000016,1.9521955440190393,4,2.0,False
14,2d_fp16_axis0,3,5.4275,5.26675,-0.1512500000000001,2.786734223859974,4,2.0,False
15,2d_fp16_axis_neg2_keep,3,5.36275,5.1665,-0.20074999999999976,3.7434152253974133,4,2.0,False
16,2d_fp16_axis1,31,7.12275,7.06275,-0.0699999999999994,0.9827664876627623,4,2.0,False
17,2d_fp16_large_2024x3000,40,41.957499999999996,42.003,-0.030500000000003524,0.0726926056128309,4,2.0978749999999997,False
18,6d_fp16_score_rule_shape,36,7.76675,7.80175,0.09025000000000016,-1.1620046995203934,2,2.0,False
19,2d_fp32_axis0,5,5.2010000000000005,5.03575,-0.15049999999999963,2.893674293405107,5,2.0,False
20,2d_fp32_axis_neg2_keep,5,5.156,5.0255,-0.11099999999999977,2.15283165244375,6,2.0,False
21,2d_fp32_axis1,31,7.0525,7.1935,0.11025000000000063,-1.563275434243185,2,2.0,False
22,2d_fp32_large_2024x3000,40,43.69825,43.824,-0.11550000000000438,0.26431264409903,4,2.1849125000000003,False
23,6d_fp32_score_rule_shape,36,7.9275,8.0085,0.09574999999999978,-1.2078208766950462,0,2.0,False
24,ara_fp16_a0_997,36,7.9479999999999995,8.0235,0.05525000000000002,-0.6951434323100154,2,2.0,False
25,ara_fp16_keep,6,4.839,4.70825,-0.1255000000000006,2.5935110560033188,4,2.0,False
26,ara_fp16_r4095,1,10.790000000000001,10.845500000000001,-0.04050000000000065,0.3753475440222488,4,2.0,False
27,ara_fp16_r4096,1,10.658999999999999,10.57375,-0.09600000000000097,0.9006473402758324,4,2.0,False
28,ara_fp32_a0_997,40,8.54125,8.46575,-0.07074999999999942,0.8283330894189892,5,2.0,False
29,ara_fp32_keep,10,4.99025,4.8942499999999995,-0.09074999999999989,1.8185461650217905,4,2.0,False
30,ara_fp32_r4095,1,35.4035,33.2705,-3.6265,10.243337523126245,4,2.0,False
31,ara_fp32_r4096,1,35.8005,33.743249999999996,-3.762250000000005,10.50893143950505,4,2.0,False
32,ara_fp16_r10000,28,115.99325,113.0305,-5.00500000000001,4.314906255320899,4,5.7996625,False
33,ara_fp32_r5000,13,36.62049999999999,37.1635,0.6035000000000004,-1.6479840526481084,1,2.0,False
34,multi_contiguous_fp16,2,4.462,4.5322499999999994,0.09574999999999978,-2.145898700134464,2,2.0,False
35,multi_noncontiguous_fp16,1,66.908,14.904499999999999,-52.0035,77.72388951993783,6,3.3454,False
36,multi_negative_fp16,1,70.31325000000001,55.61,-15.251750000000001,21.69114640554945,6,3.515662500000001,False
37,multi_contiguous_fp32,2,4.80925,4.703749999999999,-0.06499999999999995,1.3515620938815813,4,2.0,False
38,multi_noncontiguous_fp32,1,66.25874999999999,15.1865,-51.05199999999999,77.04944629954534,6,3.3129374999999994,False
39,multi_negative_fp32,1,67.7125,52.622,-15.09075,22.286505445818715,6,3.385625,False
40,special_fp16_nan_inf,2,4.738499999999999,4.643,-0.10049999999999937,2.120924343146552,4,2.0,False
41,special_fp32_nan_inf,2,4.4567499999999995,4.502000000000001,0.07549999999999946,-1.6940595725584668,3,2.0,False
