round,physical_device,case,cohort,baseline_p50_us,candidate_p50_us,delta_us,speedup,baseline_block_dim,candidate_block_dim
round_03,7,fragmented_256_fp16,target,257.57,276.846,19.27600000000001,0.9303728426634301,40,40
round_03,7,fragmented_256_fp32,target,58.915,60.222,1.3070000000000022,0.9782969678854904,40,40
round_03,7,fragmented_256_int32_before40,target,15.997,17.566,1.568999999999999,0.9106797221905956,40,40
round_03,7,fragmented_256_fp16_1_31_32,target,10.201,10.946,0.7449999999999992,0.9319386077105792,38,38
round_03,7,wide_non_aligned_256_zero_fp16,target,10.725,11.993,1.2680000000000007,0.8942716584674393,40,40
round_03,7,micro_inputs_064,target,13.602,14.327,0.7249999999999996,0.9493962448523766,40,40
round_03,7,micro_inputs_128,target,20.322,20.946,0.6240000000000023,0.9702091091377828,37,37
round_03,7,fragmented_256_int8,control,18.391,18.351,-0.03999999999999915,1.0021797177265543,32,32
round_03,7,fragmented_64_fp16_before1,control,7.908,7.767,-0.14100000000000001,1.018153727307841,32,32
round_03,7,fragmented_128_fp32_zero,control,9.376,9.316,-0.05999999999999872,1.0064405324173464,32,32
