round,physical_device,version,case,cohort,samples,p50_us,mean_us,cv_pct,block_dim,scalar_ratio,mte2_ratio,mte3_ratio
round_03,7,p1,fragmented_256_fp16,target,29,257.57,257.91672413793106,1.0708682359850115,40,0.024,0.878,0.264
round_03,7,p1,fragmented_256_fp32,target,29,58.915,59.14286206896552,2.03002316528154,40,0.095,0.904,0.143
round_03,7,p1,fragmented_256_int32_before40,target,29,15.997,16.097034482758623,4.779870210657014,40,0.383,0.672,0.154
round_03,7,p1,fragmented_256_fp16_1_31_32,target,29,10.201,10.256310344827586,6.917889741344391,38,0.642,0.434,0.129
round_03,7,p1,wide_non_aligned_256_zero_fp16,target,29,10.725,10.853620689655171,6.842925579740944,40,0.602,0.417,0.163
round_03,7,p1,micro_inputs_064,target,29,13.602,13.70251724137931,4.20176859631817,40,0.413,0.567,0.27
round_03,7,p1,micro_inputs_128,target,29,20.322,20.513103448275864,3.278074990452028,37,0.254,0.708,0.399
round_03,7,p1,fragmented_256_int8,control,29,18.391,18.48862068965517,3.1489547327218204,32,0.31,0.293,0.629
round_03,7,p1,fragmented_64_fp16_before1,control,29,7.908,7.784896551724138,6.832803820801135,32,0.729,0.311,0.043
round_03,7,p1,fragmented_128_fp32_zero,control,29,9.376,9.502724137931034,7.393022098998111,32,0.618,0.423,0.083
round_03,7,p3_boundary,fragmented_256_fp16,target,29,276.846,270.84210344827585,3.8540620344194165,40,0.031,0.853,0.331
round_03,7,p3_boundary,fragmented_256_fp32,target,29,60.222,60.239275862068965,1.6556329901889462,40,0.12,0.878,0.161
round_03,7,p3_boundary,fragmented_256_int32_before40,target,29,17.566,17.63858620689655,4.507867692238363,40,0.452,0.594,0.163
round_03,7,p3_boundary,fragmented_256_fp16_1_31_32,target,29,10.946,11.06603448275862,6.587561145175126,38,0.703,0.37,0.105
round_03,7,p3_boundary,wide_non_aligned_256_zero_fp16,target,29,11.993,11.947103448275863,6.123760336863499,40,0.656,0.335,0.13
round_03,7,p3_boundary,micro_inputs_064,target,29,14.327,14.404689655172414,3.9642440625482966,40,0.51,0.477,0.212
round_03,7,p3_boundary,micro_inputs_128,target,29,20.946,21.115413793103446,3.5601649472610055,37,0.339,0.62,0.355
round_03,7,p3_boundary,fragmented_256_int8,control,29,18.351,18.491344827586207,3.497788035192332,32,0.305,0.287,0.63
round_03,7,p3_boundary,fragmented_64_fp16_before1,control,29,7.767,7.892379310344827,7.013268535245906,32,0.708,0.321,0.048
round_03,7,p3_boundary,fragmented_128_fp32_zero,control,29,9.316,9.31203448275862,7.672297103582777,32,0.625,0.411,0.085
