case,cohort,rounds,baseline_p50_us,candidate_p50_us,delta_us,faster_rounds,baseline_scalar_time_us,candidate_scalar_time_us,scalar_delta_us,baseline_mte2_time_us,candidate_mte2_time_us,mte2_delta_us,baseline_mte3_time_us,candidate_mte3_time_us,mte3_delta_us,material_regression
fragmented_256_fp16,target,3,257.59,269.121,11.086999999999989,0,5.704,7.127,1.423,210.561,202.673,-7.888000000000005,63.055,72.674,9.619000000000007,1
fragmented_256_fp32,target,3,60.424,64.63,4.205999999999996,0,4.804,6.007,1.2029999999999994,47.395,45.006,-2.389000000000003,8.347,6.515,-1.8319999999999999,1
fragmented_256_int32_before40,target,3,15.916,17.606,1.6499999999999986,0,4.806,6.015,1.2089999999999996,8.74,8.087,-0.6530000000000005,1.964,1.668,-0.29600000000000004,0
fragmented_256_fp16_1_31_32,target,3,10.081,11.188,1.2060000000000013,0,4.807,5.985,1.178,3.317,3.313,-0.0040000000000000036,0.998,0.922,-0.07599999999999996,0
wide_non_aligned_256_zero_fp16,target,3,10.905,12.133,1.2890000000000015,0,4.896,5.94,1.0440000000000005,3.305,3.096,-0.20900000000000007,1.349,1.154,-0.19500000000000006,0
micro_inputs_064,target,3,13.662,14.025,0.36299999999999955,0,4.518,5.645,1.1269999999999998,6.183,5.146,-1.037,3.003,2.3,-0.7030000000000003,0
micro_inputs_128,target,3,20.765,21.007,0.46300000000000097,0,4.483,5.651,1.1680000000000001,12.561,10.753,-1.8079999999999998,6.765,5.899,-0.8659999999999997,0
fragmented_256_int8,control,3,18.491,18.21,-0.2809999999999988,3,4.67,4.751,0.0810000000000004,4.575,4.429,-0.1459999999999999,9.737,9.622,-0.11500000000000021,0
fragmented_64_fp16_before1,control,3,7.787,7.888,0.0600000000000005,0,4.031,4.123,0.09200000000000053,1.778,1.768,-0.010000000000000009,0.26,0.257,-0.0030000000000000027,0
fragmented_128_fp32_zero,control,3,9.256,9.195,-0.03999999999999915,2,4.247,4.358,0.11099999999999977,2.975,2.987,0.01200000000000001,0.592,0.588,-0.0040000000000000036,0
