round,physical_device,case,cohort,baseline_p50_us,candidate_p50_us,delta_us,speedup,baseline_block_dim,candidate_block_dim,baseline_scalar_time_us,candidate_scalar_time_us,baseline_mte2_time_us,candidate_mte2_time_us,baseline_mte3_time_us,candidate_mte3_time_us
round_01,7,fragmented_256_fp16,target,257.59,261.071,3.4810000000000514,0.9866664623799654,40,40,5.691,7.095,209.746,202.673,63.055,66.561
round_01,7,fragmented_256_fp32,target,61.349,66.601,5.2520000000000024,0.9211423251903125,40,40,4.782,6.007,47.395,44.734,8.347,6.515
round_01,7,fragmented_256_int32_before40,target,15.916,17.566,1.6499999999999986,0.9060685415006263,40,40,4.769,6.015,8.935,8.087,1.964,2.474
round_01,7,fragmented_256_fp16_1_31_32,target,10.121,10.906,0.7850000000000001,0.92802127269393,38,38,4.837,5.976,3.357,3.115,0.998,0.902
round_01,7,wide_non_aligned_256_zero_fp16,target,11.026,11.63,0.604000000000001,0.9480653482373173,40,40,4.896,5.938,3.37,2.899,1.349,1.058
round_01,7,micro_inputs_064,target,13.903,13.964,0.06099999999999994,0.9956316241764538,40,40,4.518,5.665,6.439,4.996,3.031,2.3
round_01,7,micro_inputs_128,target,20.805,20.886,0.08099999999999952,0.9961218040792876,37,37,4.368,5.637,12.561,10.308,6.749,6.145
round_01,7,fragmented_256_int8,control,18.572,18.189,-0.3829999999999991,1.0210566826103689,32,32,4.64,4.802,4.578,4.168,9.721,9.621
round_01,7,fragmented_64_fp16_before1,control,7.887,7.888,0.001000000000000334,0.9998732251521297,32,32,4.031,4.123,1.778,1.751,0.251,0.278
round_01,7,fragmented_128_fp32_zero,control,9.417,8.974,-0.4429999999999996,1.0493648317361266,32,32,4.193,4.358,3.162,2.801,0.592,0.585
round_02,7,fragmented_256_fp16,target,256.765,273.768,17.002999999999986,0.9378926682446451,40,40,5.799,7.282,210.858,203.203,61.637,72.674
round_02,7,fragmented_256_fp32,target,60.424,64.63,4.205999999999996,0.9349218629119604,40,40,4.878,6.094,46.382,45.463,8.989,6.313
round_02,7,fragmented_256_int32_before40,target,16.479,17.606,1.1270000000000024,0.9359877314551855,40,40,5.002,6.113,8.74,8.063,4.046,1.654
round_02,7,fragmented_256_fp16_1_31_32,target,9.799,11.188,1.3890000000000011,0.8758491240614944,38,38,4.772,6.014,2.949,3.335,0.943,0.922
round_02,7,wide_non_aligned_256_zero_fp16,target,10.583,12.133,1.549999999999999,0.8722492376164181,40,40,4.796,5.94,3.305,3.096,1.177,1.154
round_02,7,micro_inputs_064,target,13.038,15.131,2.093,0.8616747075540282,40,40,4.486,5.634,5.796,5.579,3.003,2.308
round_02,7,micro_inputs_128,target,20.765,21.65,0.884999999999998,0.9591224018475751,37,37,4.493,5.657,12.179,11.272,8.3,5.744
round_02,7,fragmented_256_int8,control,18.27,18.229,-0.04100000000000037,1.0022491634209227,32,32,4.67,4.68,4.197,4.562,9.791,9.703
round_02,7,fragmented_64_fp16_before1,control,7.787,7.927,0.13999999999999968,0.9823388419326353,32,32,4.113,4.168,1.719,1.802,0.262,0.253
round_02,7,fragmented_128_fp32_zero,control,9.235,9.195,-0.03999999999999915,1.0043501903208265,32,32,4.247,4.225,2.935,3.11,0.589,0.588
round_03,7,fragmented_256_fp16,target,258.034,269.121,11.086999999999989,0.9588029176467091,40,40,5.704,7.127,210.561,200.867,63.324,73.196
round_03,7,fragmented_256_fp32,target,58.613,59.116,0.5030000000000001,0.9914913052303945,40,40,4.804,5.993,48.496,45.006,7.338,7.219
round_03,7,fragmented_256_int32_before40,target,15.815,17.847,2.032000000000002,0.8861433294111054,40,40,4.806,5.939,8.706,8.089,1.957,1.668
round_03,7,fragmented_256_fp16_1_31_32,target,10.081,11.287,1.2060000000000013,0.8931514131301497,38,38,4.807,5.985,3.317,3.313,1.009,0.933
round_03,7,wide_non_aligned_256_zero_fp16,target,10.905,12.194,1.2890000000000015,0.8942922748892898,40,40,4.905,5.969,3.258,3.106,1.384,1.189
round_03,7,micro_inputs_064,target,13.662,14.025,0.36299999999999955,0.9741176470588235,40,40,4.674,5.645,6.183,5.146,2.874,2.224
round_03,7,micro_inputs_128,target,20.544,21.007,0.46300000000000097,0.977959727709811,37,37,4.483,5.651,12.584,10.753,6.765,5.899
round_03,7,fragmented_256_int8,control,18.491,18.21,-0.2809999999999988,1.015431081823174,32,32,4.732,4.751,4.575,4.429,9.737,9.622
round_03,7,fragmented_64_fp16_before1,control,7.747,7.807,0.0600000000000005,0.9923145894709875,32,32,4.008,4.068,1.847,1.768,0.26,0.257
round_03,7,fragmented_128_fp32_zero,control,9.256,9.558,0.3019999999999996,0.9684034316802679,32,32,4.38,4.36,2.975,2.987,0.597,0.603
