round,physical_device,version,case,cohort,samples,p50_us,mean_us,cv_pct,block_dim,scalar_ratio,mte2_ratio,mte3_ratio,scalar_time_us,mte2_time_us,mte3_time_us
round_01,7,p1,fragmented_256_fp16,target,29,257.59,257.18896551724134,1.1510932589218381,40,0.024,0.878,0.265,5.691,209.746,63.055
round_01,7,p1,fragmented_256_fp32,target,29,61.349,61.28555172413793,1.5923323681051185,40,0.092,0.907,0.161,4.782,47.395,8.347
round_01,7,p1,fragmented_256_int32_before40,target,29,15.916,15.926172413793102,3.440572367166149,40,0.37,0.681,0.151,4.769,8.935,1.964
round_01,7,p1,fragmented_256_fp16_1_31_32,target,29,10.121,10.111896551724138,7.037882913782455,38,0.63,0.432,0.13,4.837,3.357,0.998
round_01,7,p1,wide_non_aligned_256_zero_fp16,target,29,11.026,10.869517241379311,6.776406646604655,40,0.598,0.398,0.162,4.896,3.37,1.349
round_01,7,p1,micro_inputs_064,target,29,13.903,14.127793103448276,5.204341453837085,40,0.405,0.573,0.27,4.518,6.439,3.031
round_01,7,p1,micro_inputs_128,target,29,20.805,20.77751724137931,3.1024607911562456,37,0.25,0.711,0.387,4.368,12.561,6.749
round_01,7,p1,fragmented_256_int8,control,29,18.572,18.431724137931035,2.9415867957442594,32,0.303,0.3,0.628,4.64,4.578,9.721
round_01,7,p1,fragmented_64_fp16_before1,control,29,7.887,7.895827586206896,7.609310872088022,32,0.703,0.312,0.045,4.031,1.778,0.251
round_01,7,p1,fragmented_128_fp32_zero,control,29,9.417,9.44348275862069,7.114078930404942,32,0.591,0.444,0.082,4.193,3.162,0.592
round_01,7,p3_boundary,fragmented_256_fp16,target,29,261.071,260.94465517241383,1.2011430687107412,40,0.031,0.879,0.288,7.095,202.673,66.561
round_01,7,p3_boundary,fragmented_256_fp32,target,29,66.601,66.51072413793104,1.314824625862598,40,0.118,0.882,0.128,6.007,44.734,6.515
round_01,7,p3_boundary,fragmented_256_int32_before40,target,29,17.566,17.646206896551725,4.603776517513027,40,0.445,0.599,0.186,6.015,8.087,2.474
round_01,7,p3_boundary,fragmented_256_fp16_1_31_32,target,29,10.906,10.974344827586208,6.870618476234672,38,0.708,0.366,0.107,5.976,3.115,0.902
round_01,7,p3_boundary,wide_non_aligned_256_zero_fp16,target,29,11.63,11.683310344827586,6.75202269957266,40,0.679,0.331,0.122,5.938,2.899,1.058
round_01,7,p3_boundary,micro_inputs_064,target,29,13.964,13.936241379310346,3.3331850465343136,40,0.519,0.461,0.212,5.665,4.996,2.3
round_01,7,p3_boundary,micro_inputs_128,target,29,20.886,20.82337931034483,3.5419918934845356,37,0.339,0.617,0.364,5.637,10.308,6.145
round_01,7,p3_boundary,fragmented_256_int8,control,29,18.189,18.338620689655173,3.649158945331071,32,0.313,0.272,0.633,4.802,4.168,9.621
round_01,7,p3_boundary,fragmented_64_fp16_before1,control,29,7.888,7.882689655172414,7.4522791761863285,32,0.727,0.297,0.049,4.123,1.751,0.278
round_01,7,p3_boundary,fragmented_128_fp32_zero,control,29,8.974,9.218344827586206,7.299923230730846,32,0.639,0.409,0.085,4.358,2.801,0.585
round_02,7,p1,fragmented_256_fp16,target,29,256.765,257.3457931034483,1.2976275431477087,40,0.024,0.881,0.258,5.799,210.858,61.637
round_02,7,p1,fragmented_256_fp32,target,29,60.424,60.10748275862069,1.6069024525846094,40,0.096,0.902,0.175,4.878,46.382,8.989
round_02,7,p1,fragmented_256_int32_before40,target,29,16.479,16.456413793103447,4.866282581322911,40,0.378,0.653,0.306,5.002,8.74,4.046
round_02,7,p1,fragmented_256_fp16_1_31_32,target,29,9.799,9.89048275862069,7.157558914607113,38,0.653,0.403,0.128,4.772,2.949,0.943
round_02,7,p1,wide_non_aligned_256_zero_fp16,target,29,10.583,10.458275862068966,7.02795101989709,40,0.632,0.407,0.146,4.796,3.305,1.177
round_02,7,p1,micro_inputs_064,target,29,13.038,13.299379310344829,5.577967252611601,40,0.417,0.536,0.28,4.486,5.796,3.003
round_02,7,p1,micro_inputs_128,target,29,20.765,20.579034482758622,3.552453412491467,37,0.254,0.68,0.463,4.493,12.179,8.3
round_02,7,p1,fragmented_256_int8,control,29,18.27,18.32344827586207,3.6043121146242694,32,0.301,0.271,0.629,4.67,4.197,9.791
round_02,7,p1,fragmented_64_fp16_before1,control,29,7.787,7.938103448275863,8.80039237188867,32,0.715,0.304,0.047,4.113,1.719,0.262
round_02,7,p1,fragmented_128_fp32_zero,control,29,9.235,9.173137931034484,6.520945996551182,32,0.609,0.424,0.086,4.247,2.935,0.589
round_02,7,p3_boundary,fragmented_256_fp16,target,29,273.768,274.11231034482756,1.1166603421470336,40,0.031,0.867,0.31,7.282,203.203,72.674
round_02,7,p3_boundary,fragmented_256_fp32,target,29,64.63,64.73110344827586,1.93576895551287,40,0.119,0.881,0.122,6.094,45.463,6.313
round_02,7,p3_boundary,fragmented_256_int32_before40,target,29,17.606,17.760137931034482,4.923411388940164,40,0.449,0.599,0.123,6.113,8.063,1.654
round_02,7,p3_boundary,fragmented_256_fp16_1_31_32,target,29,11.188,11.406172413793103,6.818934872129176,38,0.69,0.382,0.107,6.014,3.335,0.922
round_02,7,p3_boundary,wide_non_aligned_256_zero_fp16,target,29,12.133,12.271137931034483,6.821771343930841,40,0.649,0.34,0.125,5.94,3.096,1.154
round_02,7,p3_boundary,micro_inputs_064,target,29,15.131,15.08244827586207,3.0118313689543244,40,0.495,0.493,0.206,5.634,5.579,2.308
round_02,7,p3_boundary,micro_inputs_128,target,29,21.65,21.726068965517243,3.4378107529192707,37,0.323,0.647,0.333,5.657,11.272,5.744
round_02,7,p3_boundary,fragmented_256_int8,control,29,18.229,18.443379310344827,3.905299621276237,32,0.305,0.297,0.634,4.68,4.562,9.703
round_02,7,p3_boundary,fragmented_64_fp16_before1,control,29,7.927,7.868,6.734142498542678,32,0.72,0.312,0.045,4.168,1.802,0.253
round_02,7,p3_boundary,fragmented_128_fp32_zero,control,29,9.195,9.448586206896552,8.157493911236942,32,0.603,0.441,0.083,4.225,3.11,0.588
round_03,7,p1,fragmented_256_fp16,target,29,258.034,258.00493103448275,0.9001630375150548,40,0.024,0.879,0.265,5.704,210.561,63.324
round_03,7,p1,fragmented_256_fp32,target,29,58.613,58.78848275862069,1.4641192164579941,40,0.09,0.909,0.137,4.804,48.496,7.338
round_03,7,p1,fragmented_256_int32_before40,target,29,15.815,16.012310344827586,4.430341882428289,40,0.375,0.683,0.149,4.806,8.706,1.957
round_03,7,p1,fragmented_256_fp16_1_31_32,target,29,10.081,10.130724137931034,7.455724053836661,38,0.647,0.427,0.132,4.807,3.317,1.009
round_03,7,p1,wide_non_aligned_256_zero_fp16,target,29,10.905,11.06103448275862,7.755093627392203,40,0.604,0.402,0.166,4.905,3.258,1.384
round_03,7,p1,micro_inputs_064,target,29,13.662,13.827310344827588,5.0684122064223525,40,0.417,0.562,0.26,4.674,6.183,2.874
round_03,7,p1,micro_inputs_128,target,29,20.544,20.663827586206896,2.829783110892866,37,0.252,0.71,0.38,4.483,12.584,6.765
round_03,7,p1,fragmented_256_int8,control,29,18.491,18.492724137931035,2.5619791234953873,32,0.306,0.292,0.631,4.732,4.575,9.737
round_03,7,p1,fragmented_64_fp16_before1,control,29,7.747,7.8964482758620695,8.390657273653874,32,0.704,0.322,0.045,4.008,1.847,0.26
round_03,7,p1,fragmented_128_fp32_zero,control,29,9.256,9.393172413793103,7.317317662900108,32,0.613,0.426,0.083,4.38,2.975,0.597
round_03,7,p3_boundary,fragmented_256_fp16,target,29,269.121,269.7605172413793,1.4191260169181172,40,0.031,0.863,0.315,7.127,200.867,73.196
round_03,7,p3_boundary,fragmented_256_fp32,target,29,59.116,59.262379310344826,1.576422019492203,40,0.117,0.881,0.141,5.993,45.006,7.219
round_03,7,p3_boundary,fragmented_256_int32_before40,target,29,17.847,17.903620689655174,2.9369132792499495,40,0.44,0.602,0.124,5.939,8.089,1.668
round_03,7,p3_boundary,fragmented_256_fp16_1_31_32,target,29,11.287,11.327413793103448,5.7737460679742965,38,0.683,0.381,0.106,5.985,3.313,0.933
round_03,7,p3_boundary,wide_non_aligned_256_zero_fp16,target,29,12.194,12.160655172413794,5.765097066129029,40,0.65,0.337,0.13,5.969,3.106,1.189
round_03,7,p3_boundary,micro_inputs_064,target,29,14.025,14.127241379310345,5.063566041743257,40,0.512,0.476,0.204,5.645,5.146,2.224
round_03,7,p3_boundary,micro_inputs_128,target,29,21.007,20.97944827586207,2.7716901014227524,37,0.33,0.626,0.342,5.651,10.753,5.899
round_03,7,p3_boundary,fragmented_256_int8,control,29,18.21,18.24158620689655,3.0126221568466436,32,0.316,0.289,0.627,4.751,4.429,9.622
round_03,7,p3_boundary,fragmented_64_fp16_before1,control,29,7.807,7.964344827586207,8.288795725330822,32,0.722,0.303,0.044,4.068,1.768,0.257
round_03,7,p3_boundary,fragmented_128_fp32_zero,control,29,9.558,9.370206896551723,7.574148805365315,32,0.615,0.426,0.083,4.36,2.987,0.603
