case_index,case_name,block_dim,task_count,warmup_count,hot_count,p50_us,p95_us,mean_us,cv,min_us,max_us,input_shapes,input_dtypes,output_shapes,op_name
0,mode1_fp16,2,30,10,20,7.2235,8.21,7.248600000000001,0.11294579231289217,6.237,8.25,"""2,30000""",FLOAT16,"""2""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
1,mode4_fallback_fp16,1,30,10,20,245.619,250.246,246.24439999999998,0.009923988063614402,242.198,250.609,"""2,3,2,3,2,3,2,3""",FLOAT16,"""2,2,2,2,3""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
2,mode5_fp16,5,30,10,20,6.0665,6.257,6.0755,0.019075014370106332,5.876,6.318,"""65536""",FLOAT16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
3,mode7_fp16,17,30,10,20,5.0809999999999995,5.392,5.09265,0.03915952290576663,4.829,5.412,"""257""",FLOAT16,"""257""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
4,mode1_fp32,2,30,10,20,7.324,8.109,7.28075,0.08144213895465803,6.539,8.29,"""2,30000""",FLOAT,"""2""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
5,mode4_fallback_fp32,1,30,10,20,242.1775,246.322,242.58735000000001,0.009131728980526986,239.18,248.174,"""2,3,2,3,2,3,2,3""",FLOAT,"""2,2,2,2,3""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
6,mode5_fp32,5,30,10,20,6.318,6.68,6.36745,0.03329605427628934,6.017,6.821,"""65536""",FLOAT,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
7,mode7_fp32,33,30,10,20,6.7509999999999994,7.002,6.7234,0.03933489765479549,6.338,7.283,"""257""",FLOAT,"""257""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
8,mode1_bf16,2,30,10,20,7.726,8.411,7.76275,0.06170650861360432,7.203,8.431,"""2,30000""",DT_BF16,"""2""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
9,mode4_fallback_bf16,1,30,10,20,257.57,261.374,257.99305,0.00905230687951159,254.411,262.782,"""2,3,2,3,2,3,2,3""",DT_BF16,"""2,2,2,2,3""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
10,mode5_bf16,5,30,10,20,6.489,6.6,6.4700500000000005,0.019123271595877893,6.198,6.721,"""65536""",DT_BF16,"""""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
11,mode7_bf16,17,30,10,20,5.1005,5.493,5.1095999999999995,0.03718461842611444,4.85,5.593,"""257""",DT_BF16,"""257""",aclnnSquareSumV1_SquareSumV1AiCore_SquareSumV1
