case_index,case_name,block_dim,parent_median_us,candidate_median_us,paired_delta_median_us,improvement_percent,candidate_faster_rounds,material_regression_limit_us,material_regression
0,1d_fp16_n1,1,6.001250000000001,6.2379999999999995,0.34224999999999994,-5.70297854613622,2,2.0,False
1,1d_fp16_n4,1,3.9135,3.899,0.0,-0.0,3,2.0,False
2,1d_fp16_n31,1,3.9385000000000003,3.9234999999999998,0.004999999999999671,-0.1269518852354874,3,2.0,False
3,1d_fp16_n32,1,3.8935,3.9537499999999994,0.05974999999999975,-1.5346089636573712,3,2.0,False
4,1d_fp16_n33,1,3.8732499999999996,3.9785,0.0950000000000002,-2.452720583489323,1,2.0,False
5,1d_fp16_n997,1,4.13475,4.075,-0.040000000000000036,0.9674103633835186,3,2.0,False
6,1d_fp16_n10000,1,4.6075,4.61775,0.0,-0.0,3,2.0,False
7,1d_fp32_n1,1,5.835,5.66425,-0.5029999999999997,8.620394173093397,4,2.0,False
8,1d_fp32_n4,1,3.8735,4.1499999999999995,0.2609999999999997,-6.738092164708911,0,2.0,False
9,1d_fp32_n31,1,3.8832500000000003,4.0642499999999995,0.17099999999999937,-4.403527972703261,0,2.0,False
10,1d_fp32_n32,1,3.8682499999999997,3.9234999999999998,0.045250000000000234,-1.16977961610548,2,2.0,False
11,1d_fp32_n33,1,3.91825,3.964,0.025249999999999995,-0.6444203407133285,2,2.0,False
12,1d_fp32_n997,1,4.02425,4.06925,0.04549999999999965,-1.1306454618872994,2,2.0,False
13,1d_fp32_n10000,1,4.5225,4.5975,0.05525000000000002,-1.221669430624655,2,2.0,False
14,2d_fp16_axis0,3,5.15625,5.277,0.11525000000000007,-2.2351515151515167,2,2.0,False
15,2d_fp16_axis_neg2_keep,3,5.126250000000001,5.146,0.12575000000000003,-2.4530602292123875,2,2.0,False
16,2d_fp16_axis1,31,7.138249999999999,7.18825,0.04524999999999979,-0.6339088712219353,1,2.0,False
17,2d_fp16_large_2024x3000,40,42.269,42.505500000000005,0.09525000000000716,-0.22534244954933202,2,2.11345,False
18,6d_fp16_score_rule_shape,36,7.907500000000001,7.90775,-0.03025000000000011,0.38254821372115216,3,2.0,False
19,2d_fp32_axis0,5,5.131,5.060499999999999,-0.10574999999999957,2.0610017540440375,4,2.0,False
20,2d_fp32_axis_neg2_keep,5,5.161,5.09075,-0.09575000000000022,1.8552606084092274,4,2.0,False
21,2d_fp32_axis1,31,7.22325,7.18275,-0.05025000000000057,0.6956702315439804,4,2.0,False
22,2d_fp32_large_2024x3000,40,43.814,43.38125,-0.43274999999999864,0.9876979960743111,3,2.1907,False
23,6d_fp32_score_rule_shape,36,7.94275,7.8877500000000005,0.015249999999999986,-0.19199899279216878,2,2.0,False
24,ara_fp16_a0_997,36,8.114,8.0885,-0.010250000000000092,0.12632487059403613,3,2.0,False
25,ara_fp16_keep,6,4.7235000000000005,4.73325,0.01499999999999968,-0.3175611305176178,3,2.0,False
26,ara_fp16_r4095,1,10.88025,10.785,-0.05999999999999961,0.5514579168677154,4,2.0,False
27,ara_fp16_r4096,1,10.609,10.623999999999999,0.010000000000000675,-0.0942595909133818,3,2.0,False
28,ara_fp32_a0_997,40,8.586500000000001,8.49625,-0.11549999999999994,1.345134804635182,4,2.0,False
29,ara_fp32_keep,10,4.8895,4.834,-0.06050000000000022,1.2373453318335255,3,2.0,False
30,ara_fp32_r4095,1,31.8065,33.9445,0.7842499999999983,-2.465690975115144,2,2.0,False
31,ara_fp32_r4096,1,32.43,34.45725,0.5932499999999976,-1.8293246993524441,3,2.0,False
32,ara_fp16_r10000,28,124.28825,121.54650000000001,0.8857499999999945,-0.7126578739341767,3,6.214412500000001,False
33,ara_fp32_r5000,13,36.87225,36.89725,0.004500000000003723,-0.012204299981703647,3,2.0,False
34,multi_contiguous_fp16,2,4.462,4.66825,0.1912499999999997,-4.286194531600173,1,2.0,False
35,multi_noncontiguous_fp16,1,66.52575,17.89275,-48.35124999999999,72.68050341409152,6,3.3262875000000003,False
36,multi_negative_fp16,1,69.65450000000001,61.122749999999996,-9.009749999999997,12.934914470708991,6,3.4827250000000003,False
37,multi_contiguous_fp32,2,4.93975,4.6075,-0.3170000000000006,6.417328812186864,6,2.0,False
38,multi_noncontiguous_fp32,1,65.902,17.41975,-48.291000000000004,73.27698704136445,6,3.2950999999999997,False
39,multi_negative_fp32,1,67.28999999999999,57.456,-10.442499999999999,15.518650616733542,6,3.364499999999999,False
40,special_fp16_nan_inf,2,4.68325,4.6377500000000005,-0.030750000000000277,0.6565953130838685,4,2.0,False
41,special_fp32_nan_inf,2,4.507,4.41125,-0.14099999999999957,3.128466829376516,5,2.0,False
