spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
scalar,Greater,1050,150,900,2.16,2.36,2.1731422222222223,0.08990848307248352,0.041372572007985955,2.02,2.58,1,[1],0.262,0.113,0.963,0.0625,PASS,specs/scalar/profile/PROF_000001_20260901011543051_PMRQIIAFPMMLERRB/mindstudio_profiler_output/op_summary_20260901011557.csv
f16_p1_large_inner,Greater,1050,150,900,233.509,235.049,233.4848788888889,0.9331413051259163,0.003996581318527188,230.709,236.01,40,[40],0.948,0.318,0.428,0.682,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260901011605083_KIADMAAEANKAHQBC/mindstudio_profiler_output/op_summary_20260901011623.csv
f32_p1_large_inner,Greater,1050,150,900,201.1585,202.18804999999998,201.18997555555555,0.6083169545395286,0.0030235947534649962,199.308,202.929,40,[40],0.978,0.237,0.256,0.661,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260901011631328_KECOGPFDOOALHGBA/mindstudio_profiler_output/op_summary_20260901011647.csv
f16_p2_large_inner,Greater,1050,150,900,458.018,460.21805,458.1061544444444,1.1574617217247518,0.0025266233830201026,455.198,462.358,20,[20],0.655,0.388,0.556,0.449,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260901011655222_HJEELJRKRACLFRGA/mindstudio_profiler_output/op_summary_20260901011712.csv
f32_p2_large_inner,Greater,1050,150,900,280.851,283.091,280.94729333333333,1.2144863928426706,0.004322826457707597,277.551,285.371,20,[20],0.716,0.445,0.456,0.42,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260901011720345_QPMGOCBACRNKJGLB/mindstudio_profiler_output/op_summary_20260901011736.csv
f16_p2_tiny_inner_big,Greater,1050,150,900,1451.158,1462.971,1451.393758888889,6.938222100371798,0.004780385789782738,1429.817,1483.379,40,[40],0.769,0.205,0.17,0.773,PASS,specs/f16_p2_tiny_inner_big/profile/PROF_000001_20260901011744463_RAQIPQKOELRFQFRB/mindstudio_profiler_output/op_summary_20260901011802.csv
f32_p2_tiny_inner_big,Greater,1050,150,900,1997.7495,2007.94595,1997.96699,6.010369034418768,0.0030082424106610333,1980.039,2019.061,40,[40],0.666,0.268,0.281,0.721,PASS,specs/f32_p2_tiny_inner_big/profile/PROF_000001_20260901011810519_IBIQEKGQHKELDFMA/mindstudio_profiler_output/op_summary_20260901011829.csv
f16_same_big,Greater,1050,150,900,308.872,310.654,309.0691877777778,0.9296994563749897,0.003008062573495511,306.952,312.593,40,[40],0.991,0.171,0.24,0.434,PASS,specs/f16_same_big/profile/PROF_000001_20260901011836458_BIDQDELHNKNPNNHC/mindstudio_profiler_output/op_summary_20260901011858.csv
f32_same_big,Greater,1050,150,900,537.8715,539.62295,537.448891111111,1.5999160878443646,0.0029768711300840723,533.381,541.201,40,[40],0.995,0.14,0.247,0.4445,PASS,specs/f32_same_big/profile/PROF_000001_20260901011905375_EJDPMGACHBNGIOLB/mindstudio_profiler_output/op_summary_20260901011925.csv
f16_tail_bouter,Greater,1050,150,900,34.921,36.24294999999999,35.00888,0.6600699517138737,0.018854357857602807,33.461,37.681,40,[40],0.623,0.289,0.3,0.417,PASS,specs/f16_tail_bouter/profile/PROF_000001_20260901011932474_EFPNLLOQDGEOKGHB/mindstudio_profiler_output/op_summary_20260901011949.csv
f16_tail_binner,Greater,1050,150,900,38.342,39.462950000000006,38.376845555555555,0.6521804688310524,0.016994113491869335,36.761,40.881,40,[40],0.423,0.416,0.485,0.31,PASS,specs/f16_tail_binner/profile/PROF_000001_20260901011956467_HAJOIBPDFICPKDMB/mindstudio_profiler_output/op_summary_20260901012012.csv
f16_5d_bcast,Greater,1050,150,900,4.76,5.06,4.754386666666667,0.18642320265698928,0.03921077853511899,4.321,5.42,20,[20],0.337,0.169,0.7,0.082,PASS,specs/f16_5d_bcast/profile/PROF_000001_20260901012019570_EGOIGGBQRLBMOQOA/mindstudio_profiler_output/op_summary_20260901012035.csv
bf16_binner,Greater,1050,150,900,22.521,23.301000000000002,22.523680000000002,0.46723805952283753,0.020744303751555584,21.401,23.701,40,[40],0.461,0.655,0.754,0.133,PASS,specs/bf16_binner/profile/PROF_000001_20260901012042781_QJBRCDHLDHHCHJCA/mindstudio_profiler_output/op_summary_20260901012057.csv
i32_binner,Greater,1050,150,900,30.261,31.141,30.293964444444445,0.5385166446021703,0.01777636748698726,29.161,33.001,40,[40],0.513,0.721,0.669,0.14,PASS,specs/i32_binner/profile/PROF_000001_20260901012104795_JECOCELHPNENCPBA/mindstudio_profiler_output/op_summary_20260901012121.csv
i8_binner,Greater,1050,150,900,42.842,43.702,42.861671111111114,0.49073319142425254,0.011449231415922065,41.682,44.202,40,[40],0.436,0.737,0.867,0.174,PASS,specs/i8_binner/profile/PROF_000001_20260901012129007_MFDENOCIGEHCABNA/mindstudio_profiler_output/op_summary_20260901012145.csv
