spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_same_big,Greater,1050,150,900,307.3825,308.833,307.46561,0.7856311829845967,0.0025551839211695794,305.512,310.013,40,[40],0.992,0.172,0.258,0.47,PASS,specs/f16_same_big/profile/PROF_000001_20260831233220535_KGEFRFIMILNPEDMC/mindstudio_profiler_output/op_summary_20260831233240.csv
f16_same_med,Greater,1050,150,900,32.662,33.281,32.68239333333333,0.3630189568971111,0.011107477753988779,31.722,33.841,20,[20],0.921,0.311,0.484,0.254,PASS,specs/f16_same_med/profile/PROF_000001_20260831233247498_MPFJICGDJDDMGRIB/mindstudio_profiler_output/op_summary_20260831233302.csv
f16_same_sml,Greater,1050,150,900,2.88,3.1,2.888673333333333,0.12245090608076366,0.0423900150521567,2.64,3.481,8,[8],0.277,0.095,0.9275,0.06,PASS,specs/f16_same_sml/profile/PROF_000001_20260831233309560_FHPDRCAKGDNBNOIC/mindstudio_profiler_output/op_summary_20260831233324.csv
f16_same_12m,Greater,1050,150,900,66.042,66.883,66.03271222222222,0.5377852777472889,0.008144225182474122,64.622,67.363,20,[20],0.966,0.308,0.468,0.187,PASS,specs/f16_same_12m/profile/PROF_000001_20260831233331836_EPRJCJOIFRGIOKGB/mindstudio_profiler_output/op_summary_20260831233348.csv
f16_same_14m,Greater,1050,150,900,75.863,77.00399999999999,75.86447,0.7138706700407604,0.00940981555714764,74.363,78.243,40,[40],0.967,0.157,0.251,0.59,PASS,specs/f16_same_14m/profile/PROF_000001_20260831233355686_OPLDQDFMFHJKQMDB/mindstudio_profiler_output/op_summary_20260831233410.csv
f16_bouter,Greater,1050,150,900,55.242,56.44205,55.292765555555555,0.6376601685783408,0.01153243398429131,53.782,57.563,40,[40],0.675,0.559,0.592,0.146,PASS,specs/f16_bouter/profile/PROF_000001_20260831233417858_ODCRJBQPJDKBHAKB/mindstudio_profiler_output/op_summary_20260831233433.csv
f16_bouter_big,Greater,1050,150,900,198.81799999999998,200.73100000000002,198.88698666666667,1.1175525708936969,0.005619033148542332,196.328,203.248,40,[40],0.683,0.598,0.604,0.155,PASS,specs/f16_bouter_big/profile/PROF_000001_20260831233440917_NMFHJRGGJDGELEQB/mindstudio_profiler_output/op_summary_20260831233458.csv
f16_binner,Greater,1050,150,900,53.042,54.08205,53.074555555555555,0.6151819805031697,0.011590902157611677,51.422,55.302,40,[40],0.666,0.541,0.651,0.151,PASS,specs/f16_binner/profile/PROF_000001_20260831233506009_POOKEEFRMAMLFPLA/mindstudio_profiler_output/op_summary_20260831233521.csv
f16_bboth,Greater,1050,150,900,52.982,54.282,52.935364444444446,0.8931157698145062,0.0168718167748109,49.882,56.522,40,[40],0.654,0.555,0.78,0.155,PASS,specs/f16_bboth/profile/PROF_000001_20260831233528919_HDICNEILNJAFKPMB/mindstudio_profiler_output/op_summary_20260831233543.csv
f16_3d_bouter,Greater,1050,150,900,92.9235,94.06305,92.86710555555555,0.8048691439346056,0.008666891674071952,90.583,95.204,40,[40],0.941,0.347,0.342,0.454,PASS,specs/f16_3d_bouter/profile/PROF_000001_20260831233551047_JHDMCRIRGCMDPHRA/mindstudio_profiler_output/op_summary_20260831233607.csv
