spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f16_same_big,control,307.3825,308.6725,1.2900000000000205,0.004196725578066482,0,1,40,40,yes,no,
f16_same_med,control,32.662,33.082,0.4200000000000017,0.012858979854264948,0,1,20,20,yes,no,
f16_same_sml,control,2.88,2.88,0.0,0.0,0,1,8,8,yes,no,
f16_same_12m,control,66.042,64.323,-1.7190000000000083,-0.026028890705914545,1,1,20,20,yes,no,
f16_same_14m,control,75.863,77.903,2.0400000000000063,0.02689057907016604,0,1,40,40,yes,no,
f16_bouter,control,55.242,52.382,-2.8599999999999994,-0.05177220230983671,1,1,40,40,yes,no,
f16_bouter_big,control,198.81799999999998,195.348,-3.4699999999999704,-0.01745314810530219,1,1,40,40,yes,no,
f16_binner,control,53.042,52.542,-0.5,-0.00942649221371743,1,1,40,40,yes,no,
f16_bboth,control,52.982,53.792500000000004,0.8105000000000047,0.015297648257898998,0,1,40,40,yes,no,
f16_3d_bouter,control,92.9235,93.404,0.48049999999999216,0.005170920165512407,0,1,40,40,yes,no,
f16_5d_bcast,control,4.72,4.7605,0.04050000000000065,0.008580508474576408,0,1,20,20,yes,no,
f16_tail_same,control,43.622,43.902,0.28000000000000114,0.006418779514923688,0,1,20,20,yes,no,
f16_tail_bouter,control,35.2415,34.582,-0.6595000000000013,-0.018713732389370522,1,1,40,40,yes,no,
f16_tail_bouter_rev,control,34.422,35.061,0.6390000000000029,0.018563709255708643,0,1,40,40,yes,no,
f16_tail_binner,control,38.802,38.781,-0.021000000000000796,-0.0005412092160198133,1,1,40,40,yes,no,
f16_tail_binner_rev,control,38.681,38.501,-0.17999999999999972,-0.004653447428970289,1,1,40,40,yes,no,
f16_p1_rows2,control,2.86,2.96,0.10000000000000009,0.034965034965034995,0,1,1,1,yes,no,
f16_p1_rows2_rev,control,2.8905,3.06,0.1695000000000002,0.058640373637779006,0,1,1,1,yes,no,
f16_p1_partial_tail,control,58.822,57.722,-1.1000000000000014,-0.018700486212641552,1,1,16,16,yes,no,
f16_p2_5d_tail,control,3.96,4.04,0.08000000000000007,0.02020202020202022,0,1,2,2,yes,no,
f16_p1_large_inner,control,232.709,232.2295,-0.4795000000000016,-0.00206051334499311,1,1,40,40,yes,no,
f16_p2_large_inner,control,451.178,457.1885,6.010499999999979,0.013321793172539394,0,1,20,20,yes,no,
f16_p1_tiny_inner_big,control,1401.816,1402.366,0.5499999999999545,0.00039234821117746873,0,1,40,40,yes,no,
f16_p2_tiny_inner_big,control,1454.378,1452.9279999999999,-1.4500000000000455,-0.0009969897784482752,1,1,40,40,yes,no,
f16_vec,control,307.632,308.472,0.839999999999975,0.0027305351848961584,0,1,40,40,yes,no,
f32_same_big,control,536.4815,538.982,2.500499999999988,0.004660924934037778,0,1,40,40,yes,no,
f32_same_4m,control,43.701499999999996,41.262,-2.4394999999999953,-0.055821882544077335,1,1,20,20,yes,no,
f32_same_8m,control,84.223,84.7435,0.5204999999999984,0.0061800220842287545,0,1,40,40,yes,no,
f32_bouter,control,84.3835,86.863,2.4795000000000016,0.029383706530305115,0,1,40,40,yes,no,
f32_binner,control,88.303,88.163,-0.14000000000000057,-0.0015854500979581732,1,1,40,40,yes,no,
f32_binner_16128,control,85.223,85.564,0.340999999999994,0.004001267263532075,0,1,40,40,yes,no,
f32_binner_16129,control,85.3935,86.584,1.1905000000000001,0.01394134213962421,0,1,40,40,yes,no,
f32_tail_same,control,40.622,42.402,1.7800000000000011,0.043818620451971865,0,1,20,20,yes,no,
f32_p1_large_inner,control,204.488,203.349,-1.13900000000001,-0.005570008998083066,1,1,40,40,yes,no,
f32_p2_large_inner,control,281.3415,280.831,-0.5104999999999791,-0.0018145207870149946,1,1,20,20,yes,no,
f32_p1_tiny_inner_big,control,1671.7765,1673.1970000000001,1.4205000000001746,0.0008496949203438227,0,1,40,40,yes,no,
f32_p2_tiny_inner_big,control,1986.1695,1995.2195000000002,9.050000000000182,0.004556509401639781,0,1,40,40,yes,no,
bf16_same_big,control,167.04649999999998,164.94650000000001,-2.099999999999966,-0.0125713498935923,1,1,40,40,yes,no,
